id;date;description;debit;credit;balance;account_type;payment_id
1;2024-03-01T14:47:46;excluding;25327.21;16806.69;28613.92;LIABILITY;27057
2;2024-03-01T19:00:23;opposite;6351.31;22159.39;24598.88;LIABILITY;14064
3;2024-03-01T14:50:40;hence decipher;27944.58;7923.49;6529.1;ASSET;16157
4;2024-03-02T09:44:21;besides speedily;3472.39;31894.99;12851.03;EQUITY;15508
5;2024-03-01T15:37:22;zowie;30041.03;2758.16;32615.92;REVENUE;3414
6;2024-03-02T00:13:01;next;6335.86;12045.19;2002.14;ASSET;23642
7;2024-03-02T11:48:35;trivial throughout once;9210.68;10979.86;11862.22;EQUITY;19787
8;2024-03-01T20:41:00;through ask hatch;1257.55;20156.1;29870.24;REVENUE;27035
9;2024-03-02T01:42:45;who;21212.5;2962.77;22858.37;REVENUE;28087
10;2024-03-02T03:29:42;huzzah;14304.45;6370.46;15340.8;ASSET;31205
