id;announcement_type;title;content;created_date;last_modified_date;created_by;last_modified_by;direct_message_id;admin_id
1;BANNER;yieldingly bah if;through;2024-03-02T08:06:47;2024-03-01T14:51:25;up versus;milky tidy;29106;1
2;COMMUNITY_ALERT;sans;inflict fooey;2024-03-02T09:13:02;2024-03-02T04:20:51;ennoble cable;astride;6140;2
3;SYSTEM_UPDATE;if eager behind;fisherman aw;2024-03-01T21:50:30;2024-03-02T04:28:13;within;when fatigue with;94;3
4;POLICY_CHANGE;and titanium puppy;inside;2024-03-02T04:59:51;2024-03-01T22:26:28;er uh-huh serpentine;since;16078;4
5;SYSTEM_UPDATE;personal boohoo verdict;artistic;2024-03-02T12:14:32;2024-03-02T04:31:56;bud sweet;quick-witted er;10708;5
6;POLICY_CHANGE;off tidy;ukulele beside lest;2024-03-02T01:22:28;2024-03-01T15:46:44;greedily;into profile;1637;6
7;OTHER;apud ionize pillory;lobby contaminate;2024-03-01T20:18:56;2024-03-01T17:14:25;fatally nettle granola;ugh unhappy honk;28749;7
8;SYSTEM_UPDATE;bowler elixir;if;2024-03-02T05:10:39;2024-03-02T10:43:38;shakily until;mortify;11223;8
9;SYSTEM_UPDATE;boo;boo;2024-03-02T02:39:46;2024-03-02T00:24:27;especially to yesterday;yowza icy inside;20285;9
10;SYSTEM_UPDATE;mostly eyebrows zowie;bulk remount;2024-03-02T12:20:37;2024-03-01T20:42:41;drat;amidst pro;1861;10
