id;subject;description;status;type;opened_at;closed_at;comments;created_date;last_modified_date;created_by;last_modified_by;user_id
1;far yippee;gyrate virtuous yahoo;CLOSED;PRIVACY_CONCERN;2024-03-02T08:03:46;2024-03-02T11:45:42;yuck submit ack;2024-03-01T17:36:03;2024-03-01T19:31:05;aw aboard where;ah ouch hype;14055
2;force sledge whoa;manipulate;ASSIGNED;FEATURE_REQUEST;2024-03-02T03:29:59;2024-03-01T18:35:45;glass oh;2024-03-02T05:41:06;2024-03-02T12:11:32;phew;imaginary pleasing and;2994
3;barring propagandise for;flare jib;OPEN;ACCESS_ISSUE;2024-03-01T21:47:57;2024-03-02T00:30:55;grizzle cleverly afore;2024-03-02T05:17:35;2024-03-02T12:57:51;geez dramatic right;rasterise zero next;22457
4;snowsuit secure unhook;likewise house once;ASSIGNED;PRIVACY_CONCERN;2024-03-01T16:38:26;2024-03-02T12:01:37;broil;2024-03-02T05:01:32;2024-03-01T18:05:41;coal;oof;8973
5;pantry coat;in over;ASSIGNED;REPORT_REQUEST;2024-03-01T21:30:41;2024-03-02T00:36:02;patrol by;2024-03-02T08:56:05;2024-03-02T03:26:57;biodegradable blah;envious oof;7720
6;aha;within;ASSIGNED;ACCOUNT_SUSPENSION;2024-03-02T12:19:33;2024-03-01T21:09:29;if notwithstanding;2024-03-02T08:55:45;2024-03-02T10:25:00;homely inasmuch flood;whoa;1069
7;dodge;reoffend;CLOSED;DOCUMENT_VERIFICATION;2024-03-02T06:42:53;2024-03-02T02:41:40;whose lovable;2024-03-01T23:43:15;2024-03-01T17:43:35;drafty reassuringly;across unnaturally beyond;31358
8;into per;pish deeply;CLOSED;PAYMENT_ISSUE;2024-03-01T19:11:35;2024-03-02T12:09:19;among;2024-03-01T18:55:11;2024-03-02T06:20:25;lest head;through swine;23333
9;longingly;unity;OPEN;FEATURE_REQUEST;2024-03-01T17:10:15;2024-03-01T21:44:29;yowza when;2024-03-02T10:03:38;2024-03-02T02:48:04;milky gee;amid;16124
10;psst;as;ASSIGNED;ACCOUNT_SUSPENSION;2024-03-02T08:19:06;2024-03-01T22:01:25;strong inasmuch fairly;2024-03-02T03:40:35;2024-03-02T05:20:24;couch yuck human;boohoo yowza;19097
