id;year;total_budget;spent_amount;remaining_amount;budget_details
1;17296;18388.85;9272.02;15680.17;now
2;17274;1712.72;10029.92;5147.74;openly pop judgementally
3;1025;15172.12;8038.9;27775.01;beyond
4;17551;5024.51;16298.68;20383.52;smoothly phooey
5;29646;29753.63;19304.25;30941.94;debrief married sentimentalise
6;12740;27117.66;2081.65;28441.95;upsell surprised become
7;29110;18868.17;15532.2;16438.21;knowledgeably courageously jubilantly
8;17697;28411.6;28977.32;11497.33;cant
9;1162;11422.05;7754.8;22322.89;since glance
10;1537;25620.31;10467.87;22437.29;disparity linkage across
