id;statement_type;period_start_date;period_end_date;created_date
1;INCOME_STATEMENT;2024-03-01;2024-03-02;2024-03-01T23:17:32
2;INCOME_STATEMENT;2024-03-01;2024-03-02;2024-03-02T04:36:12
3;CASH_FLOW;2024-03-01;2024-03-01;2024-03-02T07:00:37
4;CASH_FLOW;2024-03-01;2024-03-02;2024-03-02T00:43:56
5;CASH_FLOW;2024-03-02;2024-03-02;2024-03-01T16:01:32
6;INCOME_STATEMENT;2024-03-01;2024-03-02;2024-03-02T09:11:14
7;BALANCE_SHEET;2024-03-02;2024-03-02;2024-03-01T19:14:55
8;CASH_FLOW;2024-03-02;2024-03-01;2024-03-02T04:41:25
9;CASH_FLOW;2024-03-02;2024-03-02;2024-03-02T14:35:56
10;CASH_FLOW;2024-03-02;2024-03-01;2024-03-01T18:41:45
