id;document_name;document_description;document_status;document_type;file_document;file_document_content_type;file_document_s_3_key;created_date;last_modified_date;created_by;last_modified_by
1;province frankly;thud;PENDING;MISC;../fake-data/blob/hipster.png;image/png;subconscious gah;2024-03-01T18:22:26;2024-03-02T12:43:29;dinghy;psst
2;oh decide;trip;APPROVED;CONTRACT;../fake-data/blob/hipster.png;image/png;as;2024-03-01T19:16:40;2024-03-02T07:30:28;sunny;phooey gosh
3;yuck plonk gee;witty;APPROVED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;yawning;2024-03-01T18:29:57;2024-03-02T04:18:39;typeset famously;who shriek athletic
4;ew despite;mumbling provided gadzooks;APPROVED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;whose yesterday knavishly;2024-03-02T14:15:02;2024-03-01T21:26:48;furnish;mysteriously converse disinvest
5;energetic;wrinkle will now;APPROVED;CONTRACT;../fake-data/blob/hipster.png;image/png;vigilant athwart;2024-03-02T12:35:53;2024-03-01T20:08:12;than ouch;recession cumbersome altruistic
6;slink boo;ack finally;REJECTED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;canalize consequently;2024-03-02T13:19:39;2024-03-01T15:03:52;elliptical;inasmuch lovable octagon
7;uh-huh validate;before with dark;PENDING;MISC;../fake-data/blob/hipster.png;image/png;lest ugh;2024-03-02T09:51:10;2024-03-02T07:18:37;guerrilla;so
8;hopelessly;monthly;APPROVED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;buck who;2024-03-02T12:23:12;2024-03-01T21:16:55;around swaddle whopping;whether
9;very;besides stealthily;APPROVED;CONTRACT;../fake-data/blob/hipster.png;image/png;inside;2024-03-01T21:36:20;2024-03-02T01:06:14;blood crossly;apud drat since
10;apropos;uh-huh frenetically benchmark;REJECTED;MISC;../fake-data/blob/hipster.png;image/png;scaly tightly sunny;2024-03-02T00:42:54;2024-03-01T16:00:05;thankfully windsurf;span sadly
