id;document_status;resolution_date;review_status;created_date;last_modified_date;created_by;last_modified_by;ticket_id
1;APPROVED;2024-03-02T11:47:12;APPROVED;2024-03-01T20:22:37;2024-03-01T15:19:32;ethical incidentally than;octave;1
2;APPROVED;2024-03-02T08:54:24;REVIEWING;2024-03-02T03:34:00;2024-03-01T16:54:58;upbeat including serpentine;how wholly;2
3;REJECTED;2024-03-02T08:02:18;REVIEWING;2024-03-01T19:31:30;2024-03-02T00:30:49;while potentially pessimistic;overact huzzah;3
4;PENDING;2024-03-01T17:24:18;APPROVED;2024-03-02T06:00:19;2024-03-02T10:40:38;stab;athwart whose agreeable;4
5;REJECTED;2024-03-01T18:21:31;APPROVED;2024-03-01T19:23:41;2024-03-01T18:16:39;unless woefully kosher;sans;5
6;APPROVED;2024-03-02T01:47:42;REVIEWING;2024-03-01T21:07:26;2024-03-02T01:22:50;annotate since;gee hybridization;6
7;APPROVED;2024-03-02T13:18:50;REVIEWING;2024-03-02T10:21:05;2024-03-01T23:46:37;beautiful versus;yahoo;7
8;APPROVED;2024-03-02T14:07:40;REJECTED;2024-03-02T10:26:49;2024-03-02T11:24:23;inhabit ugh;inside;8
9;APPROVED;2024-03-02T02:11:48;REJECTED;2024-03-02T13:43:35;2024-03-02T02:56:32;carelessly;redeploy via so;9
10;REJECTED;2024-03-02T09:50:05;APPROVED;2024-03-02T11:20:47;2024-03-02T11:24:56;ack um;political;10
