id;name;amount;due_date;type
1;ha indeed deputize;25334.87;2024-03-01;LONG_TERM
2;mark wary;26424.59;2024-03-02;CURRENT
3;campaign amount ugh;14554.64;2024-03-01;CURRENT
4;question ugh;26939.64;2024-03-02;LONG_TERM
5;worth jaggedly until;13376.94;2024-03-01;CURRENT
6;pianist advocate;25960.99;2024-03-02;LONG_TERM
7;hurdle wrathful;15795.13;2024-03-01;CURRENT
8;eek;24827.02;2024-03-02;CURRENT
9;brightly especially meh;17255.67;2024-03-01;LONG_TERM
10;whoa plasticize;18426.08;2024-03-02;LONG_TERM
