id;action_type;reason;action_date;duration_days
1;CONTENT_REMOVAL;crushing displacement;2024-03-02T03:33:34;8030
2;TEMPORARY_BAN;kindly;2024-03-01T15:30:45;16826
3;WARNING;waft huzzah;2024-03-01T17:14:34;11565
4;CONTENT_REMOVAL;beyond clumsy like;2024-03-02T00:11:55;1371
5;OTHER;process the likewise;2024-03-01T15:40:19;14139
6;OTHER;of;2024-03-02T02:34:42;5017
7;OTHER;foolishly aha;2024-03-01T19:10:57;8762
8;TEMPORARY_BAN;examine yet;2024-03-02T14:24:33;29613
9;PERMANENT_BAN;dart;2024-03-01T22:28:05;1927
10;PERMANENT_BAN;scanner;2024-03-02T00:24:08;27006
