id;year;declaration_type;submitted_date;status;total_income;total_taxable_income;total_tax_paid;supporting_documents_key
1;8262;INCOME_TAX;2024-03-02T14:31:40;DRAFT;19996.36;28719.12;16441.57;outside phew
2;8180;OTHER;2024-03-01T20:15:52;PROCESSED;30036.29;12194.97;30416.08;boohoo limply
3;27712;OTHER;2024-03-02T09:01:31;PROCESSED;21354.6;16917.15;12154.64;knock shakily but
4;16178;OTHER;2024-03-02T01:13:08;DRAFT;9144.14;15006.85;15858.1;evenly after
5;20254;VAT;2024-03-02T06:42:45;DRAFT;30254.16;12581.12;486.31;handle editorialize
6;4874;INCOME_TAX;2024-03-02T02:38:07;PROCESSED;22890.26;5370.79;8707.85;aha along
7;434;OTHER;2024-03-01T19:32:04;DRAFT;30619.63;17623.26;8822.06;helpful
8;30446;INCOME_TAX;2024-03-02T02:56:43;DRAFT;10571.54;178.74;14222.34;shellac worthwhile waterlogged
9;6251;OTHER;2024-03-01T16:20:42;PROCESSED;23612.96;20315.66;1989.43;fooey an
10;24999;VAT;2024-03-02T07:38:02;SUBMITTED;27089.45;28579.44;12682.72;unlike jolly gadzooks
