id;report_description;status;created_date;last_modified_date;created_by;last_modified_by;is_deleted;report_category;reporter_id;reported_id;multimedia_id;message_id;post_id;comment_id;ticket_id
1;beset motionless joey;DISMISSED;2024-03-01T23:44:49;2024-03-01T15:05:01;but anti;though what courageously;false;MESSAGE_REPORT;14374;7734;14395;32639;8882;12906;1
2;between politicise wan;DISMISSED;2024-03-02T01:31:25;2024-03-01T23:02:05;faithfully;who greedily certainly;true;POST_REPORT;24245;31652;19371;10174;26460;21057;2
3;faithfully;PENDING;2024-03-02T04:28:52;2024-03-01T23:26:49;clamp shallow which;unbearably;false;POST_REPORT;30115;19318;1807;16291;31504;22374;3
4;once when;ACTION_TAKEN;2024-03-02T10:32:06;2024-03-02T04:15:28;painfully;loosely;false;POST_REPORT;27766;8154;23193;1136;29915;7170;4
5;intellect;DISMISSED;2024-03-02T12:14:47;2024-03-01T15:21:39;psst hoarse beyond;yuck activist;true;USER_REPORT;27314;10315;28342;15467;32457;21314;5
6;identical raw;DISMISSED;2024-03-01T21:44:43;2024-03-02T12:22:49;as provided sum;nightclub knowingly;false;MESSAGE_REPORT;32075;24920;10569;2197;6453;21250;6
7;warmhearted;PENDING;2024-03-01T23:47:40;2024-03-02T12:33:17;um miserably since;why beyond athwart;true;MESSAGE_REPORT;857;1005;17311;28096;29830;3576;7
8;like underneath if;REVIEWED;2024-03-01T15:58:53;2024-03-01T22:50:14;besides yowza encash;until and;false;MULTIMEDIA_REPORT;465;23092;32704;14867;31779;22253;8
9;but boo;REVIEWED;2024-03-02T10:01:56;2024-03-02T00:55:49;before mortally finally;quince writhe phony;true;COMMENT_REPORT;2341;1089;739;6616;17856;31396;9
10;savor ah when;ACTION_TAKEN;2024-03-01T18:27:58;2024-03-02T06:16:59;smolt;destabilise jut whoever;true;USER_REPORT;19607;23801;2054;11332;11140;26463;10
