id;date;description;debit;credit;balance;account_type
1;2024-02-28T23:29:36;excluding;25327.21;16806.69;28613.92;LIABILITY
2;2024-02-29T03:30:41;scarily yet without;8115.9;7400.48;1543.05;EXPENSE
3;2024-02-29T21:14:45;given gosh substantial;5105.66;25196.41;3472.39;EXPENSE
4;2024-02-29T13:54:58;deselect what;3414.36;19680.5;7950.58;EXPENSE
5;2024-02-29T18:39:55;bake provided;8521.21;30596.91;22448.75;EXPENSE
6;2024-02-29T02:32:18;warmhearted brr;11862.22;18383.87;19786.6;REVENUE
7;2024-02-29T03:34:28;reoccur;13805.15;31532.73;4525.72;ASSET
8;2024-02-29T08:26:25;hatch;1257.55;20156.1;29870.24;REVENUE
9;2024-02-29T03:31:39;as inspection;2840.16;11162.37;7019.21;LIABILITY
10;2024-02-29T18:59:02;velvet employ;14309.17;10428.15;21471.07;LIABILITY
