id;announcement_type;title;content;created_date;last_modified_date;created_by;last_modified_by;admin_id
1;BANNER;yieldingly bah if;through;2024-02-29T16:48:37;2024-02-28T23:33:15;up versus;milky tidy;1
2;OTHER;er bronze;failing treasured miter;2024-02-29T08:06:34;2024-02-29T15:13:57;gee summon;elf;2
3;OTHER;ew during prettify;supposing unlike;2024-02-28T23:26:48;2024-02-29T17:58:06;reject yet;parameter;3
4;OTHER;hm until among;dishonour plunger male;2024-02-29T18:25:38;2024-02-29T09:45:39;fruitful mmm;active;4
5;SYSTEM_UPDATE;once beside hitchhike;bud sweet;2024-02-29T10:05:22;2024-02-29T09:58:07;crunch;inherit off tidy;5
6;OTHER;provided;reassuringly;2024-02-29T15:49:28;2024-02-29T02:43:12;botany;that;6
7;OTHER;reform beyond;alongside;2024-02-29T01:16:18;2024-02-28T23:32:05;tomatillo;whereas;7
8;COMMUNITY_ALERT;contaminate and;membership;2024-02-29T04:03:26;2024-02-29T09:47:41;unless;swimming;8
9;BANNER;except;uncoil sink disinvest;2024-02-29T20:48:00;2024-02-29T22:00:36;than shakily until;mortify;9
10;SYSTEM_UPDATE;ugh;viciously;2024-02-29T21:12:19;2024-02-29T11:21:36;kit decrease;yesterday when eek;10
