id;title;subject;content;mail_template_type;created_date;last_modified_date;created_by;last_modified_by;is_active
1;and whether pfft;barring woot;set glacier meaningfully;ALERT;2024-02-29T04:41:40;2024-02-29T16:54:30;atop expiate duh;whenever incidentally;true
2;amid;servitude daily upside-down;really warmly apprehensive;NOTIFICATION;2024-02-29T10:51:51;2024-02-29T05:23:40;gosh acidly;humble;false
3;except active;tightly;jealously before yowza;NOTIFICATION;2024-02-29T07:23:15;2024-02-29T17:37:24;fantastic;vice meet rap;false
4;blissfully;ew irresponsible;horde;NEWSLETTER;2024-02-29T19:51:53;2024-02-29T09:39:44;corduroy;voluntarily ferociously dude;false
5;well-documented selfish;jovially benefit knowledgeably;delve;PROMOTION;2024-02-29T19:02:00;2024-02-29T11:04:43;magnetize blaring;behind glee;false
6;pullulate ha;incidentally;fulfil during;NEWSLETTER;2024-02-29T14:55:13;2024-02-29T04:34:35;bitterly of under;save despite;false
7;identical gee;bail;freely wait cultivated;NOTIFICATION;2024-02-29T19:57:07;2024-02-29T17:39:21;sarong between;magnificent;true
8;whose sunday times;obvious innocently;hm phew stuff;NEWSLETTER;2024-02-29T16:18:26;2024-02-29T00:46:26;restring drat slushy;unto consequently;false
9;upon likely;knot fear;wonderfully fondly yuck;NOTIFICATION;2024-02-29T08:44:06;2024-02-29T13:48:41;noisily;cool when;false
10;calmly description generously;gah given meh;luminous turn;ALERT;2024-02-29T02:04:57;2024-02-29T04:11:21;vacantly furthermore um;strong;false
