id;config_key;config_value;description;config_value_type;config_category;config_file;config_file_content_type;created_date;last_modified_date;created_by;last_modified_by;is_active
1;regal independence gadzooks;whenever huzzah;speedy barring;STRING;SEO;../fake-data/blob/hipster.png;image/png;2024-02-29T19:45:32;2024-02-29T16:42:52;where;unexpectedly psst;false
2;like blushing quarrelsomely;whittle;questionably playfully;BOOLEAN;SEO;../fake-data/blob/hipster.png;image/png;2024-02-29T04:57:58;2024-02-29T19:58:01;elastic neglect;sediment likewise ack;true
3;mid;whoever moral;solemnise beneath;TEXT;SECURITY;../fake-data/blob/hipster.png;image/png;2024-02-29T09:17:32;2024-02-29T21:40:51;during;rout so yearly;true
4;appliance how boom;ack that;fluffy vice eek;FLOAT;GENERAL;../fake-data/blob/hipster.png;image/png;2024-02-29T08:24:33;2024-02-29T00:33:22;yuppify mysteriously liquid;pamper average;true
5;frightened;overflow;restfully;JSON;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2024-02-29T15:55:17;2024-02-29T17:24:00;menorah;um;false
6;zowie popsicle;jovially excluding dense;lest joint emu;JSON;USER_INTERFACE;../fake-data/blob/hipster.png;image/png;2024-02-29T08:37:30;2024-02-29T15:17:02;vacant queue;um mob;false
7;detailed stamp harness;story;phooey correctly;INTEGER;PAYMENT;../fake-data/blob/hipster.png;image/png;2024-02-29T12:32:02;2024-02-29T16:40:28;nick however;globe;false
8;toward meh gosh;promptly;amid unlike;TEXT;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2024-02-29T17:52:10;2024-02-29T23:43:20;astound how separately;aw um cozy;true
9;zowie understate growl;when wherever obediently;ha privatise noodles;TEXT;USER_INTERFACE;../fake-data/blob/hipster.png;image/png;2024-02-29T20:19:09;2024-02-29T20:09:39;uh-huh very;fooey;false
10;drat disastrous;become omnivore park;nail;STRING;SECURITY;../fake-data/blob/hipster.png;image/png;2024-02-29T13:03:16;2024-02-29T22:35:34;friend whoever repackage;yet now for;false
