id;subject;description;status;type;opened_at;closed_at;comments;created_date;last_modified_date;created_by;last_modified_by
1;far yippee;gyrate virtuous yahoo;CLOSED;PRIVACY_CONCERN;2024-02-29T16:45:36;2024-02-29T20:27:32;yuck submit ack;2024-02-29T02:17:53;2024-02-29T04:12:55;aw aboard where;ah ouch hype
2;extroverted standing;whoa heist stingy;OPEN;ACCOUNT_SUSPENSION;2024-02-29T10:24:06;2024-02-29T08:59:11;blah;2024-02-29T22:37:30;2024-02-29T14:22:56;than;uh-huh rewarding yet
3;what;decadence below reprocess;OPEN;OTHER;2024-02-29T06:40:56;2024-02-29T18:44:05;past beyond yearly;2024-02-29T19:33:44;2024-02-29T20:34:59;yahoo noisily used;in that which
4;defiantly;than except;CLOSED;ACCOUNT_SUSPENSION;2024-02-29T12:50:08;2024-02-29T18:11:14;with;2024-02-29T03:59:29;2024-02-29T01:16:21;outdo;valiantly intently justly
5;mmm that rally;jovially;CLOSED;BUG_REPORT;2024-02-29T19:05:15;2024-02-29T09:41:45;ew maintain funny;2024-02-29T03:35:21;2024-02-29T18:26:00;flimsy duh;athwart nor knottily
6;blindly once;slippery alongside;ASSIGNED;CONTENT_ISSUE;2024-02-29T15:46:41;2024-02-29T07:54:00;anti pricey designer;2024-02-29T15:17:49;2024-02-29T06:23:42;bunker;briefly
7;expunge reoffend finally;neck;OPEN;BUG_REPORT;2024-02-29T06:42:50;2024-02-29T11:13:03;growing battle;2024-02-29T16:30:20;2024-02-29T07:34:45;across unnaturally beyond;surprise because peppery
8;however fingerprint;but mortally;ASSIGNED;OTHER;2024-02-29T00:19:54;2024-02-29T14:07:28;pfft director;2024-02-29T05:51:59;2024-02-29T04:15:51;as;gah past anti
9;when;marvelous;CLOSED;PAYMENT_ISSUE;2024-02-29T19:31:43;2024-02-29T14:04:27;consciousness boohoo;2024-02-29T22:58:16;2024-02-29T03:16:58;reef solemnly or;deliberately upset dampen
10;loyally;boo afore;CLOSED;CONTENT_ISSUE;2024-02-29T18:02:02;2024-02-29T18:51:55;so ouch bah;2024-02-29T16:48:40;2024-02-29T05:32:35;cruel;striped countenance
