id;amount;video_count;image_count;is_paid_content;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;4283.88;28177;10347;false;2024-02-29T22:06:45;2024-02-29T06:38:16;jealously bah unless;lightly from;false
2;14520.66;8780;29397;true;2024-02-29T07:19:08;2024-02-29T01:30:23;wise;gaffer declination traumatise;true
3;22290.67;19853;24350;true;2024-02-29T12:36:57;2024-02-29T06:38:16;duh consequently um;latency;false
4;30850.36;20951;6880;true;2024-02-29T03:12:00;2024-02-29T19:02:11;immediate pish;meh;true
5;3041.88;12165;7151;true;2024-02-29T05:02:12;2024-02-29T12:26:37;mute;remonstrate enthusiastically;false
6;21872.61;29543;16547;true;2024-02-29T15:49:42;2024-02-29T21:01:36;shade seldom zip;but dazzle aha;false
7;18925.09;30356;28018;false;2024-02-29T06:23:23;2024-02-29T15:25:35;caddy electronics;normal whenever after;true
8;22277.88;6135;8209;true;2024-02-29T03:20:07;2024-02-29T15:51:13;supposing beside pit;a athwart;false
9;4818.43;23230;10956;true;2024-02-29T15:23:35;2024-02-29T08:30:05;ready stitch interestingly;aha;true
10;21903.39;459;7112;false;2024-02-29T13:38:32;2024-02-29T00:07:20;for so considering;law dethrone word;true
