id;name;alpha_2_code;alpha_3_code;phone_code;thumbnail_country;thumbnail_country_content_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;ack;lu;bah;far;../fake-data/blob/hipster.png;image/png;2024-02-29T00:51:21;2024-02-29T18:40:25;mild;um;true
2;truly;af;fix;sell so;../fake-data/blob/hipster.png;image/png;2024-02-29T03:08:41;2024-02-29T00:14:18;oof what camp;gosh tiara hmph;true
3;motionless reconquer true;mo;unl;net;../fake-data/blob/hipster.png;image/png;2024-02-29T10:33:48;2024-02-29T10:40:11;television;sic helpfully ah;false
4;hasty;vi;whe;lettuce exceed till;../fake-data/blob/hipster.png;image/png;2024-02-29T17:19:49;2024-02-29T16:40:04;after;well king nurture;false
5;toward because;yo;nex;toward;../fake-data/blob/hipster.png;image/png;2024-02-29T01:04:57;2024-02-29T07:01:00;seriously biodegradable selfishly;playfully potentially thigh;false
6;happily;ph;amo;bin luck;../fake-data/blob/hipster.png;image/png;2024-02-29T07:21:44;2024-02-29T02:20:28;tripod;wrangle;true
7;moustache round;sm;yah;oof youthfully;../fake-data/blob/hipster.png;image/png;2024-02-29T17:49:39;2024-02-29T20:14:26;though;colorfully liberate;true
8;anenst;ne;off;stiff rash;../fake-data/blob/hipster.png;image/png;2024-02-29T21:19:16;2024-02-29T05:22:51;ear basics yahoo;yet;true
9;secondary;de;mac;phooey;../fake-data/blob/hipster.png;image/png;2024-02-29T13:00:59;2024-02-29T09:02:34;shameless;boohoo wording whenever;true
10;boohoo capitulation;me;ouc;headrest;../fake-data/blob/hipster.png;image/png;2024-02-29T22:06:57;2024-02-29T05:35:15;woot acclaim;wherever schlepp;true
