id;amount;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;28288.46;2024-02-29T06:55:30;2024-02-29T01:24:21;like instead aggravating;thoughtfully huzzah;false;1
2;1744.8;2024-02-29T07:00:34;2024-02-29T16:54:40;acrylic separate;gadzooks;true;2
3;8372.41;2024-02-29T01:22:52;2024-02-29T05:59:53;out aw iconify;successfully uselessly;false;3
4;23756.68;2024-02-29T10:54:34;2024-02-29T01:01:05;neatly aerate prune;like elegantly lightly;false;4
5;22458.25;2024-02-29T21:45:25;2024-02-29T09:03:28;if interrogate;fatally bug accost;false;5
6;4405.64;2024-02-29T16:16:15;2024-02-29T09:31:42;expropriate because chuck;overtax;true;6
7;23294.8;2024-02-29T05:37:38;2024-02-29T07:32:24;pro hit before;medical;true;7
8;27472.57;2024-02-29T11:40:24;2024-02-29T21:26:25;psst provided;limp darken how;true;8
9;12821.84;2024-02-29T04:35:05;2024-02-29T19:01:01;ex-husband deep list;yet;true;9
10;32220.41;2024-02-29T18:06:48;2024-02-29T21:47:39;royal;pish uh-huh;true;10
