id;name;symbol;code;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;wild;since flicker ha;whe;2024-02-29T06:42:47;2024-02-29T03:50:50;even to;commercialize horrible;true
2;until oh;over seemingly;lac;2024-02-29T06:11:04;2024-02-29T04:40:36;paste;qua;true
3;down as interject;and knot;ouc;2024-02-29T03:45:57;2024-02-29T09:06:00;lest;certainly for aim;true
4;forked;duh;con;2024-02-29T02:12:38;2024-02-29T16:24:58;to;pale dear;false
5;jest ferret;flounder however ah;mod;2024-02-29T14:42:03;2024-02-29T21:59:32;neatly meantime amid;unnecessarily;false
6;fluid;unethically for;und;2024-02-29T07:37:15;2024-02-29T20:05:30;weekly brr;briefly;true
7;athwart;colorfully;sup;2024-02-29T06:07:58;2024-02-29T02:05:56;enrollment in pace;how ick minus;false
8;palatalise hence;chomp pedal provided;rig;2024-02-29T20:15:26;2024-02-29T10:16:04;strictly worthwhile ick;dearly secret;false
9;member brightly excitedly;merry;vol;2024-02-29T20:57:35;2024-02-29T09:20:32;toward;replace;false
10;inasmuch owlishly;duh amidst calmly;sup;2024-02-29T03:49:26;2024-02-29T13:55:13;equivalent thump;lest tidy;true
