id;message_content;read_date;like_count;is_hidden;created_date;last_modified_date;created_by;last_modified_by;is_deleted;user_id
1;../fake-data/blob/hipster.txt;2024-02-29T03:17:29;10962;false;2024-02-29T18:06:58;2024-02-29T18:24:33;jiggle;mortally cultivate;true;1
2;../fake-data/blob/hipster.txt;2024-02-29T06:59:57;27086;true;2024-02-29T01:27:19;2024-02-29T04:33:18;printing taut comedy;cobble absent;true;2
3;../fake-data/blob/hipster.txt;2024-02-29T13:45:23;10662;true;2024-02-29T13:41:18;2024-02-29T04:10:37;in peacock although;able poorly elderly;false;3
4;../fake-data/blob/hipster.txt;2024-02-29T12:42:22;2941;false;2024-02-29T06:01:44;2024-02-29T04:10:22;knowledgeably;finally hopelessly um;false;4
5;../fake-data/blob/hipster.txt;2024-02-29T23:30:19;31008;false;2024-02-29T00:38:01;2024-02-29T22:32:07;incidentally subtle;aside;true;5
6;../fake-data/blob/hipster.txt;2024-02-29T14:43:41;4509;false;2024-02-29T16:37:31;2024-02-29T04:04:12;upward hence;utilized;false;6
7;../fake-data/blob/hipster.txt;2024-02-29T23:30:16;15607;true;2024-02-29T13:30:45;2024-02-29T10:40:43;aquifer;fitting into;false;7
8;../fake-data/blob/hipster.txt;2024-02-29T08:11:54;26350;false;2024-02-29T01:06:18;2024-02-29T17:41:31;finally;yuck athwart;true;8
9;../fake-data/blob/hipster.txt;2024-02-29T23:29:45;7988;true;2024-02-29T15:14:58;2024-02-29T11:21:12;political;sneaky notice;false;9
10;../fake-data/blob/hipster.txt;2024-02-29T04:13:46;22569;true;2024-02-29T02:46:47;2024-02-29T16:56:34;than reassuringly furthermore;incidentally huzzah offence;false;10
