id;content;feedback_date;feedback_rating;feedback_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;broadly flamboyant pish;2024-02-29T13:39:12;18336;ERROR;2024-02-29T16:14:18;2024-02-29T05:03:21;limit gah;integrate;true;1
2;walk;2024-02-29T01:35:26;17825;OTHER;2024-02-29T08:02:38;2024-02-29T06:24:04;exciting;angrily;false;2
3;kookily yawl;2024-02-29T18:42:03;31408;SUGGESTION;2024-02-29T20:38:55;2024-02-29T21:08:35;now so;but cartload;false;3
4;of acclimatise distant;2024-02-29T18:45:01;46;SUGGESTION;2024-02-29T18:58:19;2024-02-29T01:04:33;once ew mail;alive ha oh;true;4
5;beside woot if;2024-02-29T17:01:41;10473;SUGGESTION;2024-02-29T12:18:25;2024-02-29T16:24:48;trumpet how;when nor separately;false;5
6;who oof;2024-02-29T14:06:26;14600;SUGGESTION;2024-02-29T15:04:08;2024-02-29T05:15:47;gosh;decay;false;6
7;choreograph suddenly unless;2024-02-29T14:34:58;21895;PRAISE;2024-02-29T06:49:31;2024-02-29T17:40:39;than thunderous;out;true;7
8;worst scrawny where;2024-02-29T09:51:35;7308;PRAISE;2024-02-29T06:39:33;2024-02-29T16:23:48;fanny-pack aged ouch;for badly;true;8
9;frayed credit;2024-02-29T23:03:46;26650;ERROR;2024-02-29T18:58:58;2024-02-29T09:50:48;fervently;ponce;true;9
10;public;2024-02-29T14:15:41;25376;PRAISE;2024-02-29T18:04:15;2024-02-29T05:24:22;oof gang;qua while ick;true;10
