id;statement_type;period_start_date;period_end_date;created_date
1;INCOME_STATEMENT;2024-02-29;2024-02-29;2024-02-29T07:59:22
2;INCOME_STATEMENT;2024-02-29;2024-02-29;2024-02-29T13:18:02
3;CASH_FLOW;2024-02-29;2024-02-29;2024-02-29T15:42:27
4;CASH_FLOW;2024-02-29;2024-02-29;2024-02-29T09:25:46
5;CASH_FLOW;2024-02-29;2024-02-29;2024-02-29T00:43:22
6;INCOME_STATEMENT;2024-02-29;2024-02-29;2024-02-29T17:53:04
7;BALANCE_SHEET;2024-02-29;2024-02-29;2024-02-29T03:56:45
8;CASH_FLOW;2024-02-29;2024-02-29;2024-02-29T13:23:15
9;CASH_FLOW;2024-02-29;2024-02-29;2024-02-29T23:17:46
10;CASH_FLOW;2024-02-29;2024-02-29;2024-02-29T03:23:35
