id;tag_name;hashtag_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;sculpt;POST;2024-02-29T17:45:01;2024-02-29T20:57:13;ick;zowie tattered bah;true
2;reinforce phooey;POST;2024-02-29T10:55:03;2024-02-29T06:38:06;once ugh;eventually across;true
3;inasmuch;POST;2024-02-29T02:39:55;2024-02-29T14:00:10;repayment sally;pro earth;true
4;anxiously stealthily bucket;USER;2024-02-29T07:35:02;2024-02-29T08:12:11;alongside;coarse which pickax;true
5;er who josh;USER;2024-02-29T12:15:11;2024-02-29T14:22:05;ringworm;courteous fooey;true
6;overcooked;POST;2024-02-29T09:04:55;2024-02-29T18:05:06;utter supposing;intone meanwhile vineyard;false
7;sophisticated famously alongside;USER;2024-02-29T21:19:34;2024-02-29T13:53:02;below clamour;directive;true
8;mimosa awesome;POST;2024-02-29T01:21:55;2024-02-29T10:56:33;bubbly enchanted;aha;false
9;mysteriously mainstream hungrily;USER;2024-02-29T15:59:36;2024-02-29T02:03:02;so than gadzooks;once;true
10;direction furthermore;USER;2024-02-29T02:39:43;2024-02-29T06:48:06;hybridise;republic;false
