id;document_name;document_description;document_status;document_type;file_document;file_document_content_type;file_document_s_3_key;created_date;last_modified_date;created_by;last_modified_by
1;province frankly;thud;PENDING;MISC;../fake-data/blob/hipster.png;image/png;subconscious gah;2024-02-29T03:04:16;2024-02-29T21:25:19;dinghy;psst
2;oh decide;trip;APPROVED;CONTRACT;../fake-data/blob/hipster.png;image/png;as;2024-02-29T03:58:30;2024-02-29T16:12:18;sunny;phooey gosh
3;yuck plonk gee;witty;APPROVED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;yawning;2024-02-29T03:11:47;2024-02-29T13:00:29;typeset famously;who shriek athletic
4;ew despite;mumbling provided gadzooks;APPROVED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;whose yesterday knavishly;2024-02-29T22:56:52;2024-02-29T06:08:38;furnish;mysteriously converse disinvest
5;energetic;wrinkle will now;APPROVED;CONTRACT;../fake-data/blob/hipster.png;image/png;vigilant athwart;2024-02-29T21:17:43;2024-02-29T04:50:02;than ouch;recession cumbersome altruistic
6;slink boo;ack finally;REJECTED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;canalize consequently;2024-02-29T22:01:29;2024-02-28T23:45:42;elliptical;inasmuch lovable octagon
7;uh-huh validate;before with dark;PENDING;MISC;../fake-data/blob/hipster.png;image/png;lest ugh;2024-02-29T18:33:00;2024-02-29T16:00:27;guerrilla;so
8;hopelessly;monthly;APPROVED;ID_VERIFICATION;../fake-data/blob/hipster.png;image/png;buck who;2024-02-29T21:05:02;2024-02-29T05:58:45;around swaddle whopping;whether
9;very;besides stealthily;APPROVED;CONTRACT;../fake-data/blob/hipster.png;image/png;inside;2024-02-29T06:18:10;2024-02-29T09:48:04;blood crossly;apud drat since
10;apropos;uh-huh frenetically benchmark;REJECTED;MISC;../fake-data/blob/hipster.png;image/png;scaly tightly sunny;2024-02-29T09:24:44;2024-02-29T00:41:55;thankfully windsurf;span sadly
