id;document_status;resolution_date;review_status;created_date;last_modified_date;created_by;last_modified_by;ticket_id
1;APPROVED;2024-02-29T20:29:02;APPROVED;2024-02-29T05:04:27;2024-02-29T00:01:22;ethical incidentally than;octave;1
2;APPROVED;2024-02-29T17:36:14;REVIEWING;2024-02-29T12:15:50;2024-02-29T01:36:48;upbeat including serpentine;how wholly;2
3;REJECTED;2024-02-29T16:44:08;REVIEWING;2024-02-29T04:13:20;2024-02-29T09:12:39;while potentially pessimistic;overact huzzah;3
4;PENDING;2024-02-29T02:06:08;APPROVED;2024-02-29T14:42:09;2024-02-29T19:22:28;stab;athwart whose agreeable;4
5;REJECTED;2024-02-29T03:03:21;APPROVED;2024-02-29T04:05:31;2024-02-29T02:58:29;unless woefully kosher;sans;5
6;APPROVED;2024-02-29T10:29:32;REVIEWING;2024-02-29T05:49:16;2024-02-29T10:04:40;annotate since;gee hybridization;6
7;APPROVED;2024-02-29T22:00:40;REVIEWING;2024-02-29T19:02:55;2024-02-29T08:28:27;beautiful versus;yahoo;7
8;APPROVED;2024-02-29T22:49:30;REJECTED;2024-02-29T19:08:39;2024-02-29T20:06:13;inhabit ugh;inside;8
9;APPROVED;2024-02-29T10:53:38;REJECTED;2024-02-29T22:25:25;2024-02-29T11:38:22;carelessly;redeploy via so;9
10;REJECTED;2024-02-29T18:31:55;APPROVED;2024-02-29T20:02:37;2024-02-29T20:06:46;ack um;political;10
