id;emoji_type_id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;multimedia_id;message_id;post_id;comment_id;liker_user_id
1;24531;2024-02-29T13:41:55;2024-02-29T02:22:22;powerfully helpfully down;for sizzle;false;21808;23099;15102;19141;17632
2;8584;2024-02-29T23:06:40;2024-02-29T06:02:48;gently;frantically plastic measly;false;30493;27904;13169;6971;29391
3;3374;2024-02-29T23:06:31;2024-02-29T12:08:02;aha once ignorant;ew ew;true;11145;12300;8950;30939;7131
4;27029;2024-02-29T19:47:11;2024-02-29T20:52:18;lazily;including winery;true;19946;19794;15277;12747;2008
5;1596;2024-02-29T14:31:44;2024-02-29T00:28:33;distend fatally;coolly;false;29717;3553;29374;21382;18230
6;13120;2024-02-29T09:30:07;2024-02-29T14:35:24;instead delightfully knottily;like;true;159;22054;15931;17487;2553
7;17142;2024-02-29T18:42:20;2024-02-29T11:24:10;psst;or;false;17257;16171;730;3664;16971
8;27455;2024-02-29T10:13:02;2024-02-29T16:59:33;inside but;that velvety mindless;true;24356;25171;2802;18150;30002
9;15930;2024-02-29T07:19:50;2024-02-29T05:10:24;loyally;filthy;false;15077;27000;3639;29553;27742
10;4003;2024-02-29T15:03:37;2024-02-29T02:13:18;whenever knavishly;supposing clank;false;22116;25777;30986;29679;13866
