id;action_type;reason;action_date;duration_days
1;CONTENT_REMOVAL;crushing displacement;2024-02-29T12:15:24;8030
2;TEMPORARY_BAN;kindly;2024-02-29T00:12:35;16826
3;WARNING;waft huzzah;2024-02-29T01:56:24;11565
4;CONTENT_REMOVAL;beyond clumsy like;2024-02-29T08:53:45;1371
5;OTHER;process the likewise;2024-02-29T00:22:09;14139
6;OTHER;of;2024-02-29T11:16:32;5017
7;OTHER;foolishly aha;2024-02-29T03:52:47;8762
8;TEMPORARY_BAN;examine yet;2024-02-29T23:06:23;29613
9;PERMANENT_BAN;dart;2024-02-29T07:09:55;1927
10;PERMANENT_BAN;scanner;2024-02-29T09:05:58;27006
