id;amount;created_date;last_modified_date;created_by;last_modified_by;is_deleted;withdraw_status;creator_earning_id;creator_id
1;29212.96;2024-02-29T12:45:43;2024-02-29T16:32:26;around;righteously until striking;true;DECLINED;1;1
2;3060.24;2024-02-29T11:06:26;2024-02-29T07:35:36;horizon vice;psst gel;false;PROCESSED;2;2
3;10564.17;2024-02-29T22:05:43;2024-02-29T01:21:32;direct upon from;facilitate;true;PROCESSED;3;3
4;23711.14;2024-02-29T13:26:15;2024-02-29T19:23:53;so;and gnash dial;true;DECLINED;4;4
5;13438.29;2024-02-28T23:48:18;2024-02-29T06:53:08;correctly annotate zesty;repulsive um;false;PROCESSED;5;5
6;8359.56;2024-02-29T07:53:32;2024-02-28T23:48:13;equally weakly;sympathetically bony yet;false;PENDING;6;6
7;18994.06;2024-02-29T00:55:44;2024-02-29T06:17:38;mint generously;kissingly;true;PROCESSED;7;7
8;3180.25;2024-02-29T03:58:44;2024-02-29T15:49:56;ick;cute bah behind;true;PROCESSED;8;8
9;3095.95;2024-02-29T04:21:27;2024-02-29T18:54:10;in;concerning initialise;true;PROCESSED;9;9
10;24034.17;2024-02-29T08:44:40;2024-02-29T22:56:52;knowledgeably plus;yuck defiantly fooey;true;PENDING;10;10
