id;read_date;created_date;last_modified_date;created_by;last_modified_by;is_deleted;post_comment_id;post_feed_id;direct_message_id;user_mention_id;like_mark_id;commented_user_id;messaged_user_id;mentioner_user_in_post_id;mentioner_user_in_comment_id
1;2024-02-29T21:30:23;2024-02-29T15:44:19;2024-02-29T21:48:46;meh;after boo;true;18247;25809;17893;17128;24718;1;1;1;1
2;2024-02-29T13:36:57;2024-02-29T08:16:58;2024-02-29T10:20:28;collapse;wiggle pace bah;false;21691;3196;20416;15549;11729;2;2;2;2
3;2024-02-29T10:51:25;2024-02-29T14:52:34;2024-02-29T10:18:52;ack bah an;so manure geez;false;9557;13912;2077;22168;24563;3;3;3;3
4;2024-02-29T13:47:39;2024-02-29T02:47:56;2024-02-29T04:10:28;excepting sicken once;masculine pro rye;true;20591;25759;28583;23458;28026;4;4;4;4
5;2024-02-29T07:51:47;2024-02-29T05:06:11;2024-02-29T17:36:19;expel boohoo closed;after;false;16435;12831;26816;3262;31848;5;5;5;5
6;2024-02-29T22:37:49;2024-02-29T16:20:11;2024-02-29T00:12:27;fit;sharply as authorized;true;14684;6090;21893;2170;23534;6;6;6;6
7;2024-02-29T04:00:55;2024-02-29T21:47:31;2024-02-29T08:28:33;yippee;mushroom sudden invite;false;30436;10649;3441;20609;27213;7;7;7;7
8;2024-02-29T07:58:44;2024-02-29T09:19:46;2024-02-29T19:35:07;shabby yippee silly;so;true;11555;1724;14730;8211;32089;8;8;8;8
9;2024-02-29T04:51:11;2024-02-29T13:39:19;2024-02-29T16:29:03;instead uh-huh unsightly;clasp;true;20486;18078;31343;2182;13476;9;9;9;9
10;2024-02-29T16:30:37;2024-02-29T09:59:58;2024-02-29T19:50:55;distance disgust;aboard if virtuous;false;6739;11050;28575;14527;16699;10;10;10;10
