id;free_days_duration;discount_percentage;start_date;end_date;subscriptions_limit;link_code;is_finished;promotion_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;15969;16.1;2024-02-29;2024-02-29;29107;frightened;true;SPECIAL;2024-02-29T13:56:44;2024-02-29T08:54:42;endoderm so;waylay ouch aside;true;1
2;10500;70.67;2024-02-29;2024-02-29;26063;suit so;false;TRIAL_LINK;2024-02-29T22:40:00;2024-02-29T19:35:12;joyfully;although;true;2
3;7987;12.8;2024-02-29;2024-02-29;21086;awareness brief corrupt;false;FREE_DAYS;2024-02-29T14:21:26;2024-02-29T17:25:00;brr utilized;frankly woot;false;3
4;23248;60.39;2024-02-29;2024-02-29;25598;arc;true;SPECIAL;2024-02-29T04:58:24;2024-02-29T20:14:50;weekly lull rudiment;scientific;true;4
5;4377;75.25;2024-02-29;2024-02-29;576;yawningly save;true;SPECIAL;2024-02-29T17:40:22;2024-02-29T05:33:22;boohoo upside-down while;thrifty;true;5
6;23585;14.35;2024-02-29;2024-02-29;23030;instead;true;TRIAL_LINK;2024-02-29T14:52:03;2024-02-29T10:31:39;when quirkily;though venerated;true;6
7;10151;13.48;2024-02-29;2024-02-29;17106;hungrily;false;FREE_DAYS;2024-02-29T15:00:28;2024-02-29T03:29:01;diluted wring ouch;worth smash after;true;7
8;20155;23.74;2024-02-29;2024-02-29;31071;oof collar coordinated;false;SPECIAL;2024-02-29T00:09:11;2024-02-29T17:13:50;humming;imaginative;false;8
9;25341;13.57;2024-02-29;2024-02-29;22111;alert down;false;FREE_DAYS;2024-02-29T08:02:25;2024-02-29T10:04:37;sleepwalk pfft;measly;false;9
10;2940;92.7;2024-02-29;2024-02-29;25918;inasmuch hm;true;TRIAL_LINK;2024-02-29T09:28:13;2024-02-29T08:47:42;attempt that;whereas psst;true;10
