id;comment_content;like_count;created_date;last_modified_date;created_by;last_modified_by;is_deleted;post_id;commenter_id
1;../fake-data/blob/hipster.txt;10169;2024-02-29T05:52:21;2024-02-29T11:37:28;phooey;consequently wherever;true;1;1
2;../fake-data/blob/hipster.txt;19054;2024-02-29T13:00:22;2024-02-29T02:03:20;if widen helpful;reef above;true;2;2
3;../fake-data/blob/hipster.txt;632;2024-02-29T11:59:08;2024-02-29T23:29:08;boo yet;hm stage;true;3;3
4;../fake-data/blob/hipster.txt;22;2024-02-29T11:25:39;2024-02-29T12:37:38;bah underneath alongside;plump paddock;false;4;4
5;../fake-data/blob/hipster.txt;18708;2024-02-29T05:28:41;2024-02-29T22:05:43;boo;fumbling ouch;false;5;5
6;../fake-data/blob/hipster.txt;26599;2024-02-29T03:52:32;2024-02-29T03:56:26;oh congeal airfare;beyond;false;6;6
7;../fake-data/blob/hipster.txt;10906;2024-02-29T09:45:52;2024-02-29T13:52:06;pish itch fooey;commence bloat;true;7;7
8;../fake-data/blob/hipster.txt;3446;2024-02-29T12:07:18;2024-02-29T20:21:44;brightly whoever;canter;true;8;8
9;../fake-data/blob/hipster.txt;6614;2024-02-29T07:44:35;2024-02-29T18:50:11;authorized soon until;opposite versus kindly;false;9;9
10;../fake-data/blob/hipster.txt;12243;2024-02-29T02:05:06;2024-02-29T02:35:28;yahoo trailer;clutch;true;10;10
