id;question;is_multi_choice;last_modified_date;end_date;post_poll_duration;created_date;created_by;last_modified_by;is_deleted
1;../fake-data/blob/hipster.txt;true;2024-02-29T19:19:15;2024-02-29;752;2024-02-29T13:23:14;whenever in;er baobab;true
2;../fake-data/blob/hipster.txt;true;2024-02-29T23:02:48;2024-02-29;15895;2024-02-29T09:06:19;if pointless triangular;off;true
3;../fake-data/blob/hipster.txt;false;2024-02-29T04:31:30;2024-02-29;6647;2024-02-29T15:17:56;optimal before er;yowza hm;false
4;../fake-data/blob/hipster.txt;true;2024-02-29T11:48:33;2024-02-29;12849;2024-02-29T20:59:34;briefly interchange;memorialise whether;false
5;../fake-data/blob/hipster.txt;true;2024-02-29T20:04:43;2024-02-29;10965;2024-02-29T07:18:54;octavo abaft;aside;false
6;../fake-data/blob/hipster.txt;true;2024-02-29T13:40:40;2024-02-29;18885;2024-02-29T06:17:51;under;before;false
7;../fake-data/blob/hipster.txt;false;2024-02-29T14:31:29;2024-02-29;28826;2024-02-29T17:32:49;listening sweetly bah;during;false
8;../fake-data/blob/hipster.txt;false;2024-02-29T22:11:00;2024-02-29;1072;2024-02-29T12:04:48;tut make;quickly bilk boo;false
9;../fake-data/blob/hipster.txt;true;2024-02-29T08:09:09;2024-02-29;19974;2024-02-29T15:34:27;lest programme;variable briefly below;true
10;../fake-data/blob/hipster.txt;true;2024-02-29T16:43:56;2024-02-29;32619;2024-02-29T14:02:49;enormously polish;fondly angrily;true
