id;rating;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_earning_id;viewer_id;purchased_content_package_id
1;10832.31;2024-02-29T18:53:31;2024-02-29T02:17:14;knavishly hm knowledgeably;therapy mmm when;false;1;1;1
2;26786.31;2024-02-29T15:03:07;2024-02-29T23:16:55;incompetence aha although;ah voluntarily;false;2;2;2
3;4017.38;2024-02-29T13:29:39;2024-02-29T23:16:49;once;meanwhile;true;3;3;3
4;20997.44;2024-02-29T03:38:45;2024-02-29T12:40:34;govern;shot acidic;false;4;4;4
5;6399.43;2024-02-29T04:52:21;2024-02-29T19:01:42;session amaze;frightfully;true;5;5;5
6;3881.36;2024-02-29T06:13:18;2024-02-29T09:25:11;hear limply little;mmm so;true;6;6;6
7;24727.63;2024-02-29T00:37:02;2024-02-29T03:13:28;when;evenly into;true;7;7;7
8;8093.4;2024-02-29T19:04:36;2024-02-29T03:49:48;ugh;vacantly;false;8;8;8
9;5806.88;2024-02-29T17:18:56;2024-02-29T15:47:15;forenenst what in-laws;duh;false;9;9;9
10;25977.16;2024-02-29T08:48:58;2024-02-29T19:58:45;happily julienne;sequence;true;10;10;10
