id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;end_date;subscription_status;viewer_id;creator_id;creator_earning_id;subscription_bundle_id;viewer_id
1;2024-02-29T11:25:40;2024-02-29T01:30:45;huzzah excluding generously;amongst yap rick;true;2024-02-29;PURCHASED;18703;24089;1;1;1
2;2024-02-29T02:48:28;2024-02-29T14:49:25;outside nor sprout;fashion;false;2024-02-29;PURCHASED;19259;29287;2;2;2
3;2024-02-29T23:02:46;2024-02-29T03:40:07;around accoutre;attentive moonwalk;false;2024-02-28;SUSPENDED;13116;4836;3;3;3
4;2024-02-29T20:07:05;2024-02-29T20:55:33;buttress;pier;true;2024-02-29;PENDING;13169;3313;4;4;4
5;2024-02-29T10:55:56;2024-02-29T14:46:38;amused secret amid;gullible harrow phew;true;2024-02-29;CANCELLED;12549;32105;5;5;5
6;2024-02-29T20:25:20;2024-02-29T16:57:12;noteworthy flickering yearningly;hyena;false;2024-02-29;EXPIRED;24495;19792;6;6;6
7;2024-02-29T00:11:53;2024-02-29T01:33:28;punctuate including whether;keenly provided functional;true;2024-02-29;CANCELLED;1023;29500;7;7;7
8;2024-02-29T00:16:19;2024-02-29T07:53:31;energetically;when soup;false;2024-02-29;CANCELLED;18039;1394;8;8;8
9;2024-02-29T11:00:56;2024-02-29T00:37:29;ick oh;upright shakily;true;2024-02-29;EXPIRED;5955;2888;9;9;9
10;2024-02-29T21:08:41;2024-02-29T17:45:47;frankly;quiet;false;2024-02-29;PENDING;875;31191;10;10;10
