id;amount;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_earning_id;message_id
1;13686.58;2024-02-29T12:26:42;2024-02-29T00:04:41;out;to obedient;false;1;1
2;26212.18;2024-02-29T09:09:33;2024-02-29T12:34:14;perfumed;wherever not while;false;2;2
3;12736;2024-02-29T21:19:17;2024-02-29T14:11:11;briefing;inside;true;3;3
4;15482.38;2024-02-29T08:45:37;2024-02-29T10:38:25;onto;annoy concerning;true;4;4
5;7813.64;2024-02-29T01:58:26;2024-02-29T05:27:39;times worthy about;even;true;5;5
6;218.89;2024-02-29T15:31:21;2024-02-29T23:23:23;how;from pleasant;false;6;6
7;27488.95;2024-02-29T19:13:17;2024-02-29T08:54:58;savannah;usefully provided sterilise;false;7;7
8;29678.03;2024-02-29T13:20:40;2024-02-29T07:27:41;softly;of versus yowza;true;8;8
9;24588.4;2024-02-29T00:04:46;2024-02-29T06:04:49;cleverly;aw consequently imply;true;9;9
10;26424.37;2024-02-29T02:14:46;2024-02-28T23:58:20;qualified terminology yum;bound tow-truck rapidly;true;10;10
