id;thumbnail;thumbnail_content_type;thumbnail_s_3_key;content;content_content_type;content_s_3_key;duration;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;../fake-data/blob/hipster.png;image/png;knavishly gadzooks;../fake-data/blob/hipster.png;image/png;roughhouse;21127;2024-02-29T19:04:42;2024-02-29T13:55:23;scout psst runway;that;false
2;../fake-data/blob/hipster.png;image/png;wrongly into unlace;../fake-data/blob/hipster.png;image/png;pith signify;26561;2024-02-29T14:55:17;2024-02-29T20:37:00;mantle ew once;like as pish;true
3;../fake-data/blob/hipster.png;image/png;queasily solemnly;../fake-data/blob/hipster.png;image/png;sunbathe;15989;2024-02-29T23:42:44;2024-02-29T21:26:32;wherever whose;study squirrel initiative;true
4;../fake-data/blob/hipster.png;image/png;whoever once;../fake-data/blob/hipster.png;image/png;apud hence;21193;2024-02-29T21:05:59;2024-02-29T17:17:24;tattered anguished cinema;duh new;false
5;../fake-data/blob/hipster.png;image/png;thoroughly immediately liquid;../fake-data/blob/hipster.png;image/png;widow vigilant ricochet;25715;2024-02-29T02:32:23;2024-02-29T03:05:47;second;mealy after debase;false
6;../fake-data/blob/hipster.png;image/png;glum and how;../fake-data/blob/hipster.png;image/png;exploit which diligent;14649;2024-02-29T12:38:45;2024-02-29T06:36:53;till;keel however tamale;false
7;../fake-data/blob/hipster.png;image/png;customise;../fake-data/blob/hipster.png;image/png;fatally;31723;2024-02-29T14:41:40;2024-02-29T12:22:03;however timpani yum;within yuck;false
8;../fake-data/blob/hipster.png;image/png;duh;../fake-data/blob/hipster.png;image/png;yet;7212;2024-02-29T13:11:23;2024-02-29T01:23:46;league;full gadzooks;true
9;../fake-data/blob/hipster.png;image/png;disdain;../fake-data/blob/hipster.png;image/png;orientate bah characterization;3280;2024-02-29T17:27:25;2024-02-29T02:32:37;unless befit;across direct indeed;false
10;../fake-data/blob/hipster.png;image/png;spice suit whose;../fake-data/blob/hipster.png;image/png;alongside vernacular into;27360;2024-02-29T10:38:09;2024-02-29T20:01:55;ruddy apron;as;false
