id;title;description;document_file;document_file_content_type;document_file_s_3_key;document_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted;user_id
1;because immediately;fatal;../fake-data/blob/hipster.png;image/png;a rash;since resound but;2024-02-29T18:25:28;2024-02-29T11:24:34;inferior notwithstanding;ficlet;false;1
2;droopy joint;appropriation if;../fake-data/blob/hipster.png;image/png;wiring whack;inasmuch decontrol carburize;2024-02-29T20:49:30;2024-02-29T11:15:21;until eek;unless afore politely;false;2
3;induce svelte;yahoo;../fake-data/blob/hipster.png;image/png;quietly ick loophole;legend modern;2024-02-29T08:34:24;2024-02-29T14:21:32;suffocation alive;that poised;true;3
4;fret yahoo;yak;../fake-data/blob/hipster.png;image/png;anti incidentally astride;unlike mend badly;2024-02-29T08:40:08;2024-02-29T14:15:19;ouch reiterate;generally term;false;4
5;randomisation physically;shoestring;../fake-data/blob/hipster.png;image/png;onto fondly antagonise;ack so whoa;2024-02-29T06:11:35;2024-02-29T00:58:01;ouch;whose beautifully;true;5
6;overreach duh;limited;../fake-data/blob/hipster.png;image/png;aggradation;festival;2024-02-29T21:33:38;2024-02-29T03:25:11;barring stray since;plaintive impartial;true;6
7;disassociate liquidise finally;wherever wearily grandmom;../fake-data/blob/hipster.png;image/png;ack band that;nosh deserted prickly;2024-02-29T23:23:07;2024-02-29T20:51:25;buoyant brave;a of when;false;7
8;suffuse;misty crisp competent;../fake-data/blob/hipster.png;image/png;yahoo which screening;ouch;2024-02-29T06:18:53;2024-02-29T21:07:49;utterly which woot;far;false;8
9;oh and;talk uh-huh;../fake-data/blob/hipster.png;image/png;adventurously;now awkward zealous;2024-02-29T05:39:53;2024-02-29T20:33:57;big-hearted amortise;and beneath carelessly;true;9
10;until oh through;or mechanically upset;../fake-data/blob/hipster.png;image/png;yippee;blah;2024-02-29T19:37:25;2024-02-29T14:27:58;boogie;airspace collectivise pretest;true;10
