id;thumbnail;thumbnail_content_type;thumbnail_s_3_key;content;content_content_type;content_s_3_key;duration;like_count;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;../fake-data/blob/hipster.png;image/png;dart wisely;../fake-data/blob/hipster.png;image/png;recede;29677;18807;2024-02-29T15:06:38;2024-02-29T15:57:31;dead concerning;gah grovel;true
2;../fake-data/blob/hipster.png;image/png;surprisingly pungent deeply;../fake-data/blob/hipster.png;image/png;via whey wildly;7266;11530;2024-02-29T04:39:23;2024-02-29T14:00:53;gladly aha;if knotty;true
3;../fake-data/blob/hipster.png;image/png;account general dictaphone;../fake-data/blob/hipster.png;image/png;shakily pointless kind;24391;10277;2024-02-29T18:17:14;2024-02-29T21:19:13;meanwhile worship;ah a meh;true
4;../fake-data/blob/hipster.png;image/png;miserably;../fake-data/blob/hipster.png;image/png;easily amid aside;30351;27338;2024-02-29T12:24:38;2024-02-29T01:40:59;inside;explode alongside;false
5;../fake-data/blob/hipster.png;image/png;better;../fake-data/blob/hipster.png;image/png;standardisation;1591;7606;2024-02-29T14:56:36;2024-02-29T09:42:17;caribou pantyhose;whoever wide;true
6;../fake-data/blob/hipster.png;image/png;blah after come;../fake-data/blob/hipster.png;image/png;zowie;8934;11842;2024-02-29T05:29:18;2024-02-29T00:37:43;upward;uh-huh unto;true
7;../fake-data/blob/hipster.png;image/png;that;../fake-data/blob/hipster.png;image/png;after core accoutre;28757;18795;2024-02-29T00:35:37;2024-02-29T11:47:17;jingle jovially;inside wherever pish;false
8;../fake-data/blob/hipster.png;image/png;thankfully;../fake-data/blob/hipster.png;image/png;playful or;8105;14569;2024-02-29T20:11:23;2024-02-29T17:00:02;consider design;seriously considering;false
9;../fake-data/blob/hipster.png;image/png;bolt steel;../fake-data/blob/hipster.png;image/png;foreigner;24801;29432;2024-02-29T02:34:05;2024-02-29T00:04:51;intelligent overjoyed times;pish;false
10;../fake-data/blob/hipster.png;image/png;psst;../fake-data/blob/hipster.png;image/png;phew that;29804;8334;2024-02-29T15:48:06;2024-02-29T10:08:18;pretty unless;roommate inasmuch rapidly;true
