id;start_date;end_date;reason;alt_special_title;created_date;last_modified_date;created_by;last_modified_by;is_deleted;viewer_id;creator_id;special_title_id
1;2024-02-29;2024-02-29;twiddle;highball hmph snarl;2024-02-29T13:27:18;2024-02-29T08:46:27;pointed;pace before irritably;true;2665;16506;18514
2;2024-02-29;2024-02-29;whoever above transfer;meanwhile;2024-02-29T06:11:30;2024-02-29T08:46:38;sail;opposite;true;7329;5401;27407
3;2024-02-29;2024-02-29;pro unethically;contain angrily fooey;2024-02-29T00:39:47;2024-02-29T10:26:16;dispute resize aw;bedeck jibe shut;false;20396;32599;4763
4;2024-02-29;2024-02-29;likewise likewise sedately;selfish;2024-02-29T02:54:40;2024-02-29T06:44:47;essential drat;huzzah;true;29163;26302;14008
5;2024-02-29;2024-02-29;wildly warmly;evening police hand-holding;2024-02-29T22:53:10;2024-02-29T11:04:09;how second-hand;after;true;5184;6086;31430
6;2024-02-29;2024-02-29;huzzah ceiling before;where;2024-02-29T03:33:48;2024-02-29T04:44:17;wannabe burdensome beloved;shakily sharpen;true;4175;27615;18211
7;2024-02-29;2024-02-29;of appellation among;meanwhile prep;2024-02-29T07:31:43;2024-02-29T14:00:44;envy gloomy;mmm vice however;false;1077;7832;27553
8;2024-02-29;2024-02-29;drake mercerize;usually as;2024-02-29T02:59:17;2024-02-29T00:06:15;yowza helplessly;usual;false;18523;14252;10940
9;2024-02-29;2024-02-29;reassuringly;ack fleece;2024-02-29T21:52:51;2024-02-29T15:06:58;ack cuddle each;ew how since;true;19138;9839;12774
10;2024-02-29;2024-02-29;where including;gadzooks midst ugh;2024-02-29T14:47:46;2024-02-29T13:04:12;hm questionably;superiority;false;30168;18813;24136
