id;state_name;iso_code;created_date;last_modified_date;created_by;last_modified_by;is_deleted;country_id
1;exotic against;hm ;2024-02-29T10:13:33;2024-02-29T20:39:55;lemon ideal;if jovial intuition;true;1
2;far acquire;ick;2024-02-29T19:43:58;2024-02-29T02:12:30;underpay oof flippant;trustworthy fooey gladly;true;2
3;preen while while;rem;2024-02-29T23:26:25;2024-02-29T23:51:50;whether greatly;vice unusual;true;3
4;brass;mas;2024-02-29T05:56:17;2024-02-29T13:32:26;banking beautify selfishly;zowie rapidly surprisingly;false;4
5;yum aw;aw ;2024-02-29T04:34:59;2024-02-29T11:10:25;er yearningly;sleepily off;false;5
6;incidentally;tex;2024-02-29T16:45:32;2024-02-29T16:50:51;headache;cloth;false;6
7;psst save soupy;and;2024-02-29T15:35:17;2024-02-29T23:53:20;usable;skullcap crafty atop;false;7
8;immediately criminal mid;wry;2024-02-29T13:12:10;2024-02-29T03:56:53;ah;married;true;8
9;how likewise artistic;cau;2024-02-29T07:43:18;2024-02-29T21:46:27;supposing intensely;lovingly dull;false;9
10;zowie more memorable;bif;2024-02-29T17:53:03;2024-02-29T18:19:49;brr;propagate rightfully;false;10
