id;amount;duration;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;241.35;30279;2024-02-29T05:16:22;2024-02-29T23:15:18;whenever geez lone;suspiciously around shady;false;1
2;737.79;21846;2024-02-29T17:45:16;2024-02-29T21:19:18;button zowie;almighty geez um;false;2
3;691.81;5599;2024-02-29T18:57:59;2024-02-29T15:25:31;overreach;provided because boldly;false;3
4;493.94;12918;2024-02-29T11:34:19;2024-02-29T22:33:56;beautifully;thrifty keenly ironclad;false;4
5;87.39;8034;2024-02-29T15:55:13;2024-02-28T23:58:15;frank to;lower;false;5
6;191.75;17668;2024-02-29T06:07:12;2024-02-29T10:44:09;rich;psst;true;6
7;228.84;25875;2024-02-29T00:22:10;2024-02-29T14:50:33;chlorinate;for;false;7
8;519.26;1117;2024-02-29T01:39:16;2024-02-29T04:27:26;running;properly;true;8
9;352.2;20079;2024-02-29T04:43:27;2024-02-29T01:36:58;painfully astride convalesce;blah prime;true;9
10;3.62;8543;2024-02-29T18:00:06;2024-02-29T22:01:05;boo;properly;false;10
