id;year;declaration_type;submitted_date;status;total_income;total_taxable_income;total_tax_paid;supporting_documents_key
1;8262;INCOME_TAX;2024-02-29T23:13:30;DRAFT;19996.36;28719.12;16441.57;outside phew
2;8180;OTHER;2024-02-29T04:57:42;PROCESSED;30036.29;12194.97;30416.08;boohoo limply
3;27712;OTHER;2024-02-29T17:43:21;PROCESSED;21354.6;16917.15;12154.64;knock shakily but
4;16178;OTHER;2024-02-29T09:54:58;DRAFT;9144.14;15006.85;15858.1;evenly after
5;20254;VAT;2024-02-29T15:24:35;DRAFT;30254.16;12581.12;486.31;handle editorialize
6;4874;INCOME_TAX;2024-02-29T11:19:57;PROCESSED;22890.26;5370.79;8707.85;aha along
7;434;OTHER;2024-02-29T04:13:54;DRAFT;30619.63;17623.26;8822.06;helpful
8;30446;INCOME_TAX;2024-02-29T11:38:33;DRAFT;10571.54;178.74;14222.34;shellac worthwhile waterlogged
9;6251;OTHER;2024-02-29T01:02:32;PROCESSED;23612.96;20315.66;1989.43;fooey an
10;24999;VAT;2024-02-29T16:19:52;SUBMITTED;27089.45;28579.44;12682.72;unlike jolly gadzooks
