id;rate_percentage;tax_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted;country_id
1;7335.35;VAT;2024-02-29T09:42:11;2024-02-29T01:37:54;reopen;uniform sternly;true;1
2;11365.73;WITHHOLDING;2024-02-29T01:55:00;2024-02-29T09:02:18;qua;openly pupil wasting;false;2
3;11312.67;WITHHOLDING;2024-02-29T10:22:06;2024-02-29T10:05:31;superior;cleft and;false;3
4;5031.02;VAT;2024-02-29T09:02:30;2024-02-29T09:57:26;buttery;partridge beyond near;false;4
5;3319.26;VAT;2024-02-29T21:56:53;2024-02-29T14:20:05;wherever orange quirkily;workout past ridge;false;5
6;17583.82;VAT;2024-02-29T13:35:19;2024-02-29T09:38:06;apropos afore;clarity pfft above;true;6
7;3878.74;WITHHOLDING;2024-02-29T00:34:27;2024-02-29T10:39:42;duh;within before;true;7
8;10085.07;WITHHOLDING;2024-02-29T09:06:22;2024-02-29T13:40:27;lest but so;now perfectly;true;8
9;27044.06;VAT;2024-02-29T17:39:28;2024-02-29T02:33:57;loosen readily truthful;occasional;true;9
10;25994.38;WITHHOLDING;2024-02-29T20:58:41;2024-02-29T21:52:41;demean;knowingly casualty;false;10
