id;requested_date;status;association_token;expiry_date;created_date;last_modified_date;created_by;last_modified_by;is_deleted;owner_id
1;2024-02-29T19:50:08;REQUESTED;hint concentration past;2024-02-29T06:55:38;2024-02-29T08:50:51;2024-02-29T20:37:28;far-flung hourly ironclad;decline reward;false;1
2;2024-02-29T05:03:21;REJECTED;provoke;2024-02-29T12:53:52;2024-02-29T17:29:10;2024-02-29T16:57:34;booking pattern;campaign banyan;true;2
3;2024-02-29T19:22:20;APPROVED;amid geez;2024-02-29T01:36:03;2024-02-29T08:49:13;2024-02-29T02:51:07;gadzooks growl;safe;true;3
4;2024-02-29T13:09:05;REJECTED;gee;2024-02-29T05:18:55;2024-02-29T16:27:00;2024-02-29T04:24:55;quicker;once;true;4
5;2024-02-29T00:42:04;REJECTED;or;2024-02-29T19:30:54;2024-02-29T06:03:14;2024-02-29T14:46:01;concerning utilise;via worldly athwart;false;5
6;2024-02-29T14:08:20;APPROVED;unlined;2024-02-29T05:19:04;2024-02-29T18:21:42;2024-02-29T00:44:49;press;decimal max pulse;true;6
7;2024-02-29T15:09:12;REQUESTED;arctic;2024-02-29T15:00:45;2024-02-29T14:58:21;2024-02-29T05:16:40;for leafy;drat maid;true;7
8;2024-02-29T15:43:48;REQUESTED;globalize patiently;2024-02-29T09:49:59;2024-02-29T21:18:58;2024-02-29T13:24:11;overconfidently helmet;mantle;true;8
9;2024-02-29T03:26:17;APPROVED;yum wearily undertaker;2024-02-29T19:48:14;2024-02-29T21:27:58;2024-02-29T17:56:18;pfft though;wonderfully;false;9
10;2024-02-29T10:47:02;REJECTED;happily;2024-02-29T06:17:43;2024-02-29T01:26:48;2024-02-29T01:49:09;though supposing;inculcate quarantine enormously;false;10
