id;title;description;start_date;end_date;creator_event_status;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;unsung;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;ACTIVE;2024-02-29T11:31:29;2024-02-29T16:05:41;rudely ick;lest vicious;false;1
2;incense penalize armour;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;DELETED;2024-02-29T01:20:34;2024-02-29T20:08:24;fast;until who anarchy;true;2
3;pfft anenst whether;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;CANCELED;2024-02-29T03:51:03;2024-02-29T02:22:20;fake till continually;waterwheel wherever ironclad;false;3
4;faithful furthermore aw;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;CANCELED;2024-02-29T02:27:09;2024-02-29T07:35:17;melodic eulogize since;psst lively;false;4
5;clear ick phew;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;DELETED;2024-02-29T07:29:57;2024-02-29T22:12:45;inwardly;conflict worrisome;false;5
6;yowza;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;DELETED;2024-02-29T19:00:17;2024-02-29T00:51:52;opposite fixed;denigrate pfft shakily;false;6
7;emcee pfft;../fake-data/blob/hipster.txt;2024-02-28;2024-02-29;ACTIVE;2024-02-29T15:16:58;2024-02-29T11:55:40;yum disengage;blindly;true;7
8;distributor curly vice;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;DELETED;2024-02-29T16:15:59;2024-02-29T02:18:53;incidentally zowie towards;quizzically;true;8
9;by unfit for;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;ACTIVE;2024-02-29T01:42:46;2024-02-29T05:14:57;rev slowly athwart;xerox;true;9
10;gosh sentimentalize;../fake-data/blob/hipster.txt;2024-02-29;2024-02-29;ACTIVE;2024-02-29T20:47:13;2024-02-29T15:16:29;recess knowingly ugh;hence fat;true;10
