id;report_description;status;created_date;last_modified_date;created_by;last_modified_by;is_deleted;report_category;ticket_id;reporter_id;reported_id
1;beset motionless joey;DISMISSED;2024-02-29T08:26:39;2024-02-28T23:46:51;but anti;though what courageously;false;MESSAGE_REPORT;1;1;1
2;infamous fondly;PENDING;2024-02-29T02:51:12;2024-02-29T06:49:40;wrathful yahoo whenever;burly once;true;MESSAGE_REPORT;2;2;2
3;with;ACTION_TAKEN;2024-02-29T15:51:36;2024-02-29T03:55:56;geez regarding;lovingly;false;MESSAGE_REPORT;3;3;3
4;romp tangible;REVIEWED;2024-02-29T02:55:34;2024-02-29T04:03:37;lysine;winery;true;USER_REPORT;4;4;4
5;almost;ACTION_TAKEN;2024-02-29T04:18:10;2024-02-29T10:06:32;wingtip;deployment unexpectedly broker;false;USER_REPORT;5;5;5
6;whoever more;PENDING;2024-02-29T06:48:32;2024-02-29T09:03:12;grill split;subcontractor;true;USER_REPORT;6;6;6
7;unlike lid;ACTION_TAKEN;2024-02-29T00:17:49;2024-02-29T06:26:33;yahoo;provided;true;MULTIMEDIA_REPORT;7;7;7
8;mood secondary given;DISMISSED;2024-02-29T05:03:37;2024-02-29T15:34:15;lilac;channel muffin whoever;false;POST_REPORT;8;8;8
9;vacantly;DISMISSED;2024-02-29T18:59:14;2024-02-29T02:58:48;beyond athwart unto;wisely;false;POST_REPORT;9;9;9
10;pish unique;ACTION_TAKEN;2024-02-29T00:05:28;2024-02-29T09:02:28;immortalize cultivar;unless wise;true;POST_REPORT;10;10;10
