id;last_modified_date;dark_mode;language;content_filter;message_blur_intensity;activity_status_visibility;two_factor_authentication;sessions_active_count;email_notifications;important_subscription_notifications;new_messages;post_replies;post_likes;new_followers;sms_new_stream;toast_new_comment;toast_new_likes;toast_new_stream;site_new_comment;site_new_likes;site_discounts_from_followed_users;site_new_stream;site_upcoming_stream_reminders;created_date;created_by;last_modified_by;is_deleted
1;2024-02-29T02:38:56;false;DE;true;651;true;false;7173;false;true;false;false;true;false;true;true;false;true;false;false;false;true;false;2024-02-29T08:51:01;carefully weary;quirkily bandanna apud;false
2;2024-02-29T02:18:34;true;RU;false;24891;true;true;9897;false;true;true;false;false;true;true;true;true;true;false;true;true;false;true;2024-02-29T10:53:45;regress irritably;oddly when;true
3;2024-02-29T22:37:51;false;FR;false;12226;false;false;29184;false;true;true;false;false;true;false;true;true;false;false;true;false;true;false;2024-02-29T13:29:52;vivacious authorize about;avaricious quirky start;false
4;2024-02-29T03:49:08;false;PT_BR;true;18888;false;false;15800;true;false;false;false;true;false;false;false;false;true;true;false;false;false;false;2024-02-29T00:26:38;nougat;ouch daintily;false
5;2024-02-29T16:26:16;false;ES;true;32598;false;false;30318;false;false;false;true;false;true;false;false;true;false;true;false;false;false;false;2024-02-29T04:26:31;forenenst armoire er;soupy ducks;false
6;2024-02-29T22:06:05;false;DE;true;7717;false;true;18274;true;false;false;true;false;true;false;true;true;true;true;true;false;false;true;2024-02-29T00:33:48;sociable oval;once;true
7;2024-02-29T03:21:26;true;FR;true;12246;false;true;9019;true;false;true;false;false;true;true;true;true;true;false;true;true;false;false;2024-02-29T12:56:10;cavernous;soon;false
8;2024-02-29T11:13:33;true;EN;true;17003;true;true;25725;true;false;false;true;false;false;false;true;true;true;false;false;false;true;true;2024-02-29T00:49:44;drat jump solution;authentication replenish mysteriously;true
9;2024-02-29T09:39:55;true;EN;true;21764;false;true;30625;false;true;true;false;true;false;true;false;false;false;false;false;true;true;true;2024-02-29T08:54:57;yippee nauseate thesis;than manufacture;true
10;2024-02-29T03:23:55;true;DE;false;4671;true;true;9183;false;true;true;false;false;false;true;false;false;true;false;false;false;false;true;2024-02-29T11:46:59;hm instantly utter;gaseous;false
