id;thumbnail;thumbnail_content_type;thumbnail_s_3_key;content;content_content_type;content_s_3_key;duration;like_count;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;../fake-data/blob/hipster.png;image/png;whereas uh-huh gently;../fake-data/blob/hipster.png;image/png;geez refit;14072;9310;2024-02-29T17:45:09;2024-02-29T02:37:49;acidly duh status;joshingly unfit eek;true;1
2;../fake-data/blob/hipster.png;image/png;geez;../fake-data/blob/hipster.png;image/png;stormy;22526;21854;2024-02-29T00:52:33;2024-02-29T22:00:10;uncurl following;unless waft perceive;true;2
3;../fake-data/blob/hipster.png;image/png;on circa beanstalk;../fake-data/blob/hipster.png;image/png;phooey vice now;27472;18128;2024-02-29T02:26:16;2024-02-29T05:03:20;outcome hm caterpillar;yowza;true;3
4;../fake-data/blob/hipster.png;image/png;gosh not;../fake-data/blob/hipster.png;image/png;ha of;14340;17661;2024-02-29T12:23:00;2024-02-29T09:59:51;greedily whoever towards;down gah;true;4
5;../fake-data/blob/hipster.png;image/png;cautiously overachieve dairy;../fake-data/blob/hipster.png;image/png;liquid pfft;3058;15253;2024-02-29T02:20:29;2024-02-29T08:28:16;gee evenly wrongly;ew;false;5
6;../fake-data/blob/hipster.png;image/png;to claim;../fake-data/blob/hipster.png;image/png;psst unto;12945;19634;2024-02-29T14:10:22;2024-02-29T00:04:18;yellowjacket whoever quixotic;soggy;false;6
7;../fake-data/blob/hipster.png;image/png;week;../fake-data/blob/hipster.png;image/png;how;861;2788;2024-02-29T19:43:55;2024-02-29T06:43:45;instantly plus damaged;sneaky petition;false;7
8;../fake-data/blob/hipster.png;image/png;at;../fake-data/blob/hipster.png;image/png;surge defiantly;24640;17887;2024-02-29T19:51:15;2024-02-29T16:51:08;circulate hockey stage;regionalism;true;8
9;../fake-data/blob/hipster.png;image/png;ick incidentally whose;../fake-data/blob/hipster.png;image/png;carnival;17906;15200;2024-02-29T11:00:17;2024-02-29T23:06:07;bongo pesky;scapegoat urgently hurry;true;9
10;../fake-data/blob/hipster.png;image/png;by unfortunate;../fake-data/blob/hipster.png;image/png;gag amid;13445;13881;2024-02-29T10:39:27;2024-02-29T11:18:14;polished excitedly gosh;wasteful how passing;false;10
