id;amount;last_modified_date;transaction_type;created_date;created_by;last_modified_by;is_deleted;viewer_id
1;30768.53;2024-02-29T21:04:09;REFUND;2024-02-29T03:41:24;indeed innocently;modulo now bug;true;1
2;21906.74;2024-02-29T11:31:06;PURCHASE;2024-02-29T04:45:16;circulate;noisily whoever;false;2
3;11567.02;2024-02-29T13:22:58;REFUND;2024-02-29T02:53:07;yum hmph;who versus;false;3
4;2346.57;2024-02-29T13:20:05;REFUND;2024-02-29T05:32:23;even woot interestingly;wearily;false;4
5;23689.45;2024-02-29T19:41:00;TOP_UP;2024-02-29T14:22:19;um;meaningfully brushfire;true;5
6;19836.45;2024-02-29T15:20:40;REFUND;2024-02-29T08:51:35;boo;hmph;true;6
7;27081.19;2024-02-29T15:49:42;WITHDRAWAL;2024-02-29T20:24:11;out from;famously spiteful sashay;true;7
8;29051.53;2024-02-29T19:13:36;TOP_UP;2024-02-29T16:32:25;an beautifully;pleasing;false;8
9;30850.95;2024-02-29T21:51:50;REFUND;2024-02-29T11:22:26;mod before;dispose failing that;true;9
10;11781.48;2024-02-29T05:18:09;REFUND;2024-02-29T12:52:27;aha endanger;stock oof;true;10
