id;title;subject;content;mail_template_type;created_date;last_modified_date;created_by;last_modified_by;is_active
1;leafy frisk on;surrounds rumour;ack merrily;NOTIFICATION;2024-02-21T00:50:53;2024-02-21T22:35:54;signpost only;nor overrun that;false
2;even wherever;wiggly what suspiciously;than;PROMOTION;2024-02-21T20:00:44;2024-02-21T20:46:39;sequence;delightfully gosh;true
3;conform;outweigh metallic turbulent;geez;PROMOTION;2024-02-21T03:45:26;2024-02-21T00:43:03;failing;plus;false
4;inasmuch;fooey gosh;typecast;NEWSLETTER;2024-02-21T02:03:32;2024-02-21T03:25:44;hourly instead;apropos;false
5;program at;when carpet dearly;vapid;PROMOTION;2024-02-21T21:40:16;2024-02-21T13:33:39;greedily because rinse;serpentine;false
6;until;knottily;commonly opposition pile;PROMOTION;2024-02-21T15:30:32;2024-02-21T20:07:38;through;thirsty abaft;true
7;out searchingly barring;suddenly interest;zowie limply;PROMOTION;2024-02-21T10:55:04;2024-02-21T16:16:27;scrambled ah criminal;yippee past;true
8;hatbox phooey how;visible ew branch;who;PROMOTION;2024-02-21T23:05:45;2024-02-21T19:55:45;unless equally;lest when redefine;true
9;selfishly tugboat;sustain;down;ALERT;2024-02-21T13:25:00;2024-02-21T22:40:30;alarmed;by duh;true
10;nervously;bony amazing;miniature;NEWSLETTER;2024-02-21T05:46:58;2024-02-21T21:59:18;until;voluntarily since veg;false
