id;config_key;config_value;description;config_value_type;config_category;config_file;config_file_content_type;created_date;last_modified_date;created_by;last_modified_by;is_active
1;noisily long;scene;impediment subject judgementally;BOOLEAN;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2024-02-21T21:27:25;2024-02-21T22:55:24;yum;freely while;false
2;digress practise;beyond;phrase mother forenenst;STRING;PAYMENT;../fake-data/blob/hipster.png;image/png;2024-02-21T02:17:21;2024-02-21T21:51:32;mmm provided;repudiate;true
3;raw fitting until;likewise brass er;pesky below;STRING;SEO;../fake-data/blob/hipster.png;image/png;2024-02-21T01:40:56;2024-02-21T02:23:56;never bulky so;daddy recharge never;true
4;easily intensely beside;classic;credit flintlock;STRING;USER_INTERFACE;../fake-data/blob/hipster.png;image/png;2024-02-21T15:20:34;2024-02-21T00:37:33;brr fiercely fidget;pfft humongous;false
5;oh;because seldom devolve;serious;DATE;SEO;../fake-data/blob/hipster.png;image/png;2024-02-21T01:06:09;2024-02-21T14:08:10;not tricky until;um;true
6;gleefully joyfully;than after;off discrete;DATE;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2024-02-21T11:55:22;2024-02-21T11:57:46;beetle now wildly;as;true
7;noisily nervously;offensively;exile likewise;STRING;USER_INTERFACE;../fake-data/blob/hipster.png;image/png;2024-02-21T09:26:07;2024-02-21T03:00:15;huzzah pish;potable for professor;true
8;frizzy;jovially;blah;STRING;CONTENT;../fake-data/blob/hipster.png;image/png;2024-02-21T08:00:40;2024-02-21T10:25:12;yippee;embroil past scarily;true
9;other sometimes;yesterday ascend strident;quicker;JSON;GENERAL;../fake-data/blob/hipster.png;image/png;2024-02-21T01:56:48;2024-02-21T13:10:46;fresh;enchanting consequently;false
10;times rugby vaguely;afterthought;aw gadzooks;STRING;NOTIFICATIONS;../fake-data/blob/hipster.png;image/png;2024-02-21T00:09:07;2024-02-21T09:57:21;masculine;although hm gah;true
