id;name;alpha_2_code;alpha_3_code;phone_code;thumbnail_country;thumbnail_country_content_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;until outstay;tr;uni;how foam leisure;../fake-data/blob/hipster.png;image/png;2024-02-21T06:07:57;2024-02-21T06:17:39;beneath schedule gratitude;disorient brr;true
2;mockingly;tu;ser;ha aperitif;../fake-data/blob/hipster.png;image/png;2024-02-21T14:08:02;2024-02-21T22:34:00;tired fiberglass ugh;next down unless;true
3;the less;ve;con;innocently ship;../fake-data/blob/hipster.png;image/png;2024-02-21T13:29:25;2024-02-21T15:14:22;wonderfully healthily;suit truly;false
4;after prior smoothly;he;coa;coddle until darn;../fake-data/blob/hipster.png;image/png;2024-02-21T23:17:15;2024-02-21T09:00:33;photosynthesize peaceful whether;bah;false
5;moai;re;whe;drag;../fake-data/blob/hipster.png;image/png;2024-02-21T14:20:57;2024-02-21T18:58:18;upon down;limply eek ick;true
6;toward shampoo;re;nei;ferociously pace;../fake-data/blob/hipster.png;image/png;2024-02-21T13:05:38;2024-02-21T11:33:09;afore wrongly;until chainstay;true
7;neighboring vice pioneer;bu;lou;unless syndrome;../fake-data/blob/hipster.png;image/png;2024-02-21T01:58:32;2024-02-21T05:43:01;study wise caterwaul;consequently politicise snail;true
8;but waltz;ou;til;remote;../fake-data/blob/hipster.png;image/png;2024-02-21T03:32:53;2024-02-21T22:04:00;unless reluctantly;front apropos astride;false
9;ugh commercialize;in;wit;pince-nez what;../fake-data/blob/hipster.png;image/png;2024-02-21T18:25:10;2024-02-21T01:43:16;savor exotic;ouch cruelly;true
10;that;mm;gul;willfully an a;../fake-data/blob/hipster.png;image/png;2024-02-21T10:35:10;2024-02-21T23:02:57;since consequently whoever;bleakly;false
