id;name;symbol;code;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;beautifully;loving atop;dep;2024-02-21T10:09:53;2024-02-21T16:42:17;down scrawl inside;clumsy cot;false
2;stained;anti as;sou;2024-02-21T22:57:10;2024-02-21T14:43:20;poetry;concentrate amidst geez;true
3;how;theater;abs;2024-02-21T14:37:11;2024-02-21T04:45:49;thoroughly;thorny;false
4;same fooey cilantro;piercing;bar;2024-02-21T08:14:20;2024-02-21T07:08:34;oh phew conceive;furiously trachoma positively;true
5;apud decent hm;like;rul;2024-02-21T12:45:47;2024-02-21T06:08:38;except enchanting;crow onto hm;false
6;as abandoned;whether adopt apropos;pic;2024-02-21T09:38:35;2024-02-21T05:24:02;quarrelsomely for;biosphere;true
7;flint pollard stiletto;righteously ha judge;bas;2024-02-21T08:09:55;2024-02-21T14:37:52;batter but bamboozle;genius;true
8;unless;while after twitter;yuc;2024-02-21T23:24:16;2024-02-21T23:05:27;because;ah;false
9;as incidentally meanwhile;except;shr;2024-02-21T19:05:03;2024-02-21T14:18:01;ouch;aching boohoo dull;false
10;coaxingly;pish searchingly tomorrow;lig;2024-02-21T03:30:40;2024-02-21T20:25:14;end where;pile uselessly;false
