id;title;content;is_deleted
1;hence;../fake-data/blob/hipster.txt;true
2;deliberately which;../fake-data/blob/hipster.txt;true
3;rightfully nit;../fake-data/blob/hipster.txt;true
4;lest immaterial inside;../fake-data/blob/hipster.txt;false
5;engineering;../fake-data/blob/hipster.txt;false
6;reinvent;../fake-data/blob/hipster.txt;false
7;deceivingly blindly;../fake-data/blob/hipster.txt;true
8;up incidentally though;../fake-data/blob/hipster.txt;false
9;strait phew although;../fake-data/blob/hipster.txt;true
10;premier geez;../fake-data/blob/hipster.txt;true
