id;provider_name;description;api_key_text;api_secret_text;endpoint_text;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;from speedily;as;stiff why;at;yummy cork zowie;2024-02-21T08:53:38;2024-02-21T22:21:01;necessary;foolishly quietly unless;false
2;um gadzooks;textual cravat absentmindedly;sympathetically;curiously which whether;behind;2024-02-21T21:06:43;2024-02-21T10:52:51;tightly transplantation skyscraper;mean brightly;false
3;backlight ouch;mountainous impish since;gently clearance;upright worth;whereas;2024-02-21T08:36:12;2024-02-21T15:33:13;once;than;true
4;gauge;molar;small than;mind on what;short;2024-02-21T03:28:38;2024-02-21T17:03:20;save;ridicule;false
5;likewise;towards unnecessarily yum;apprehensive;zowie;confused;2024-02-21T13:41:28;2024-02-21T18:27:14;denigrate;offensively soggy almost;false
6;upbeat;whereas gosh;except pfft drizzle;stifle wherever blindly;upbeat knowledge meh;2024-02-21T04:14:41;2024-02-21T07:36:45;mockingly;repeatedly as;false
7;dependent welcome;suspiciously how nearly;trifling fantastic broil;hm;righteously inasmuch;2024-02-21T00:29:25;2024-02-21T20:27:40;within smash before;sweaty;true
8;impress name;tailor daintily fast;schematize gadzooks;reclamation;ugly yesterday reassuringly;2024-02-21T08:58:55;2024-02-21T07:07:36;gee;yearningly toggle decimal;false
9;counselor for duh;moralize incarcerate joint;acceptable outfox;cute boohoo slum;so;2024-02-21T05:25:05;2024-02-21T11:48:58;afternoon;ruling modulo;false
10;well-worn redecorate;amid if;annually silently;swiftly arch skeletal;dependent ick;2024-02-21T22:58:49;2024-02-21T19:41:45;gee indeed;thirsty hollow;true
