id;method_name;token_text;expiration_date;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;raw;agonizing;2024-02-21;2024-02-21T18:14:22;2024-02-21T21:08:14;pointless only that;bestride given acidic;true
2;once under;majestically without;2024-02-21;2024-02-21T07:50:21;2024-02-21T12:51:31;sow;after denim;false
3;gee reluctantly yet;hence;2024-02-21;2024-02-21T13:01:22;2024-02-21T09:34:51;revascularization partition healthily;guard hm;false
4;broadly for;below past tensely;2024-02-21;2024-02-21T05:55:05;2024-02-21T09:15:12;boring;hmph but;true
5;palatalize if;sensitise avoid oof;2024-02-21;2024-02-21T03:51:07;2024-02-21T15:48:24;dog mmm;hopeful after;false
6;brr owlishly;judgementally;2024-02-21;2024-02-21T22:02:55;2024-02-21T07:31:20;estate optimistic;though;true
7;diligently in at;if colonise;2024-02-21;2024-02-21T12:24:24;2024-02-21T18:51:14;energetically prosper aggressive;digital upwardly;false
8;excited;psst;2024-02-21;2024-02-21T09:54:17;2024-02-21T14:12:20;pfft woot why;finance usage till;true
9;for;quill;2024-02-21;2024-02-21T02:53:38;2024-02-21T16:52:11;usually limping;clone once indeed;true
10;valiantly down simplistic;accusation leave droopy;2024-02-21;2024-02-21T14:02:05;2024-02-21T07:00:43;amongst unbuckle altitude;carbonise shrilly next;false
