id;state_name;iso_code;created_date;last_modified_date;created_by;last_modified_by;is_deleted;country_id
1;beside humming where;wee;2024-02-21T12:51:45;2024-02-21T12:09:28;kosher anti;compassionate solidly;false;1
2;pfft oof;aft;2024-02-21T04:12:58;2024-02-21T11:57:58;render rapid or;brr worth fatally;true;2
3;zowie crooked;mea;2024-02-21T00:55:27;2024-02-21T00:01:18;initialize prey gosh;pleasing pro legal;true;3
4;until since burdensome;con;2024-02-21T21:53:59;2024-02-21T14:58:06;hospital a catcher;squash block;false;4
5;virtual courteous;biv;2024-02-21T04:06:59;2024-02-21T17:31:05;shepherd daring an;searchingly anxiously blah;true;5
6;decentralise;who;2024-02-21T21:33:55;2024-02-21T14:08:39;upon loudly;nor under;true;6
7;mythology infect antechamber;com;2024-02-21T17:55:42;2024-02-21T08:21:34;sheathe in;generally digress;true;7
8;smarten inspiration;sec;2024-02-21T05:35:18;2024-02-21T03:16:11;nutritious;apud for how;true;8
9;yum pish;aba;2024-02-21T08:12:57;2024-02-21T15:24:07;brightly steep sentiment;value;false;9
10;usually;inc;2024-02-21T04:52:44;2024-02-21T20:23:06;now;astride excluding starchy;false;10
