id;rate_percentage;tax_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted;country_id
1;23274.07;WITHHOLDING;2024-02-21T00:56:46;2024-02-21T20:24:15;crest among;since merrily;false;1
2;4789.51;WITHHOLDING;2024-02-21T11:53:59;2024-02-21T14:40:37;majestically;transaction limply gee;false;2
3;30412.91;VAT;2024-02-21T07:15:26;2024-02-21T12:25:57;plod including ick;vice put;true;3
4;20859.96;WITHHOLDING;2024-02-21T05:40:12;2024-02-21T18:56:35;cockpit;phooey;true;4
5;16451.54;WITHHOLDING;2024-02-21T03:38:13;2024-02-21T01:11:00;along whereas or;truly;true;5
6;20177.06;VAT;2024-02-21T14:01:18;2024-02-21T04:30:34;step-mother only;realize catalyze;true;6
7;17191.89;VAT;2024-02-21T23:43:06;2024-02-21T05:08:45;naive;boohoo;true;7
8;30906.51;VAT;2024-02-21T21:47:45;2024-02-21T20:42:36;offensive;shameful;false;8
9;22754.8;VAT;2024-02-21T22:25:30;2024-02-21T00:58:17;juicy;glimpse nor;false;9
10;22417.34;VAT;2024-02-21T22:08:01;2024-02-21T03:35:16;lest push;by woot porcupine;false;10
