id;free_days_duration;discount_percentage;start_date;end_date;subscriptions_limit;link_code;is_finished;promotion_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;5290;50.8;2024-02-21;2024-02-21;31488;whoever where consequently;true;SPECIAL;2024-02-21T18:40:46;2024-02-21T04:19:31;however dialect;reliable;true
2;31214;51.38;2024-02-21;2024-02-21;8917;icecream beyond;true;SPECIAL;2024-02-21T15:46:30;2024-02-21T10:30:59;absent unabashedly somersault;ack;true
3;3117;68.31;2024-02-21;2024-02-21;20550;poised hefty;true;SPECIAL;2024-02-21T21:50:50;2024-02-21T21:07:50;emotional furthermore;elegantly fast fooey;true
4;18104;28.28;2024-02-21;2024-02-21;29759;hemorrhage;true;TRIAL_LINK;2024-02-21T22:59:43;2024-02-21T13:40:37;indeed;greedy;true
5;24275;14.12;2024-02-21;2024-02-21;4996;knottily shakily than;true;DISCOUNT;2024-02-21T04:40:49;2024-02-21T03:39:59;upon curiously softly;despite;true
6;25581;95.91;2024-02-21;2024-02-21;12526;pish strangle;true;FREE_DAYS;2024-02-21T09:18:33;2024-02-21T15:50:04;up failing;boo;false
7;4618;37.12;2024-02-21;2024-02-21;30257;off suddenly;false;TRIAL_LINK;2024-02-21T07:46:05;2024-02-21T10:25:24;ukulele sort;lovingly;false
8;13073;78.31;2024-02-21;2024-02-21;30600;woot;false;DISCOUNT;2024-02-21T00:57:07;2024-02-21T06:58:46;oh;instead deadly;true
9;27027;53.12;2024-02-21;2024-02-21;27185;plastic temporariness;true;SPECIAL;2024-02-21T20:52:54;2024-02-21T03:20:45;mist since where;on finally;false
10;11135;99.58;2024-02-21;2024-02-21;26658;wheedle aboard furthermore;true;SPECIAL;2024-02-21T17:38:52;2024-02-21T21:14:31;amongst;cute;true
