id;amount;payment_date;payment_status;payment_reference;cloud_transaction_id;viewer_id;payment_method_id;payment_provider_id
1;2110.42;2024-02-21T16:52:58;REFUNDED;that;questioner vine boohoo;14920;30230;18000
2;9901.36;2024-02-21T00:38:07;COMPLETED;psst justly;ripe;7986;890;16305
3;18812.72;2024-02-21T00:39:23;CANCELED;restructuring boo handsaw;fooey variable;4569;25891;22111
4;4130.51;2024-02-21T21:18:34;CANCELED;sister-in-law before;bony;28827;10664;8191
5;10108.76;2024-02-20T23:50:41;COMPLETED;vaguely;yuck overnighter;29025;5292;18413
6;11858.45;2024-02-21T14:13:48;DECLINED;subtle;while;26295;9392;20029
7;1030.92;2024-02-21T08:26:18;REFUNDED;disenfranchise;yuck irritably;27570;4318;25519
8;14735.13;2024-02-21T06:53:33;CANCELED;slight wherever;aggressive;30437;20374;29505
9;9438.05;2024-02-21T15:44:57;COMPLETED;highly immaculate snuggle;thumb whether cluttered;26559;23270;17413
10;239.28;2024-02-21T04:28:30;CANCELED;er like;clearly when discover;32022;23838;13982
