id;rating;created_date;last_modified_date;created_by;last_modified_by;is_deleted;viewer_id;content_package_id;creator_earning_id
1;23626.15;2024-02-21T08:19:06;2024-02-21T11:22:46;wherever;whenever satirize conk;false;27247;15624;1
2;15210.88;2024-02-21T22:44:53;2024-02-21T17:06:14;unless gosh ornery;measurement restfully evade;false;28051;1237;2
3;538.1;2024-02-21T06:39:09;2024-02-21T14:46:26;not jaggedly;entertainment astonishing;false;20154;1357;3
4;23471.37;2024-02-21T13:13:11;2024-02-21T04:50:57;flutter metabolise;drat however absent;false;31469;21280;4
5;3414.65;2024-02-21T07:56:15;2024-02-21T17:52:48;whether athwart;yahoo sprain majestically;false;31806;6834;5
6;1266.69;2024-02-21T16:06:00;2024-02-21T00:20:07;blissfully rarely;tightly;false;5434;31461;6
7;23934.09;2024-02-21T14:41:23;2024-02-21T23:50:34;hint;yet;true;29427;19508;7
8;5049.26;2024-02-21T21:07:32;2024-02-21T23:13:44;like gateway so;defiantly zowie eek;true;11068;2248;8
9;17184.08;2024-02-21T19:38:54;2024-02-21T20:20:02;as atop off;ha;false;12433;21305;9
10;9690.07;2024-02-21T03:56:23;2024-02-21T10:46:11;inwardly however;speedily afterwards timely;true;210;7744;10
