id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;end_date;subscription_status;viewer_id;creator_id;creator_earning_id;subscription_bundle_id
1;2024-02-21T21:25:00;2024-02-21T22:04:21;shift more;within;true;2024-02-21;PURCHASED;3510;31428;1;1
2;2024-02-21T23:11:45;2024-02-21T14:14:00;torn unused woot;um;false;2024-02-21;PURCHASED;32417;12103;2;2
3;2024-02-21T19:33:20;2024-02-21T18:48:11;maunder indeed likelihood;zowie;false;2024-02-21;CANCELLED;28030;14876;3;3
4;2024-02-21T04:29:14;2024-02-21T05:54:08;magnify uh-huh;roadway;false;2024-02-21;PURCHASED;29687;4239;4;4
5;2024-02-21T09:17:33;2024-02-21T16:28:21;that;tyrannize;false;2024-02-21;SUSPENDED;23208;27943;5;5
6;2024-02-21T10:35:31;2024-02-21T01:39:41;yowza;up worriedly straight;false;2024-02-21;SUSPENDED;14617;14468;6;6
7;2024-02-21T22:23:40;2024-02-21T15:01:38;whoever;car burrow qua;true;2024-02-21;SUSPENDED;11692;19424;7;7
8;2024-02-21T01:28:34;2024-02-21T12:06:05;past busily;suss needy misty;false;2024-02-21;EXPIRED;28271;22565;8;8
9;2024-02-21T04:21:30;2024-02-21T03:22:51;brightly poet;yet why;true;2024-02-21;CANCELLED;3104;3735;9;9
10;2024-02-21T22:26:38;2024-02-21T02:16:26;storyboard;smoothly provide;false;2024-02-21;CANCELLED;14185;3758;10;10
