id;amount;created_date;last_modified_date;created_by;last_modified_by;is_deleted;message_id;creator_earning_id
1;23409.63;2024-02-21T08:50:16;2024-02-21T18:29:57;hopelessly;meanwhile at badly;false;266;1
2;16366.29;2024-02-21T23:47:53;2024-02-21T16:19:24;instantly whispered;provided e-reader;false;15169;2
3;27947.04;2024-02-21T07:27:40;2024-02-21T01:50:11;loathsome nor colorfully;alb unimportant communication;false;20045;3
4;6455.86;2024-02-21T15:16:31;2024-02-21T14:44:55;appropriate rib insidious;which;true;13105;4
5;17189.19;2024-02-21T10:34:04;2024-02-21T10:00:16;partially;until;false;20116;5
6;7571.89;2024-02-21T00:56:02;2024-02-21T07:07:03;magnificent;deliver limply um;false;3380;6
7;18984.69;2024-02-21T15:44:56;2024-02-21T17:20:01;meh purple;bah correctly;false;10616;7
8;13072.61;2024-02-21T01:09:18;2024-02-21T07:19:10;gee fine;roughly why wary;false;24278;8
9;7456.76;2024-02-21T12:24:19;2024-02-21T20:13:14;now ecology solidly;yowza inasmuch;false;14038;9
10;14244.72;2024-02-21T03:54:12;2024-02-21T04:53:11;up organic;an resound;false;10996;10
